experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5948874062299702,16,9782,6,10,16,9766,0.375,0.2727272727272727,0.001635657329789409,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.477000969350336,16,9782,8,8,81,9701,0.5,0.0898876404494382,0.008280515232058883,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4150352120399485,16,9782,12,4,156,9626,0.75,0.07142857142857142,0.01594765896544674,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004273023921996355,16,9782,15,1,595,9187,0.9375,0.02459016393442623,0.06082600695154365,0.9528470660396645,0.15951852106529865
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5948874062299702,17,9741,3,14,14,9727,0.17647058823529413,0.17647058823529413,0.0014372241043014065,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.477000969350336,17,9741,6,11,59,9682,0.35294117647058826,0.09230769230769231,0.006056873010984499,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4150352120399485,17,9741,8,9,166,9575,0.47058823529411764,0.04597701149425287,0.017041371522430963,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004273023921996355,17,9741,16,1,592,9149,0.9411764705882353,0.02631578947368421,0.0607740478390309,0.967644341382996,0.11392099055780597
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5948874062299702,14,9724,0,14,26,9698,0.0,0.0,0.00267379679144385,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.477000969350336,14,9724,8,6,69,9655,0.5714285714285714,0.1038961038961039,0.007095845331139449,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4150352120399485,14,9724,9,5,126,9598,0.6428571428571429,0.06666666666666667,0.012957630604689428,0.9767107892107891,0.06502669046066804
feat_triple_asfd7_diff_age,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004273023921996355,14,9724,12,2,519,9205,0.8571428571428571,0.022598870056497175,0.05337309749074455,0.9767107892107891,0.06502669046066804
