experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5560349067449536,16,9782,5,11,20,9762,0.3125,0.2,0.0020445716622367613,0.9550194234307913,0.14611898557966357
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4193728637695301,16,9782,8,8,79,9703,0.5,0.09195402298850575,0.008076058065835208,0.9550194234307913,0.14611898557966357
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.35069018363952653,16,9782,12,4,168,9614,0.75,0.06666666666666667,0.017174401962788795,0.9550194234307913,0.14611898557966357
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008005865197628702,16,9782,15,1,597,9185,0.9375,0.024509803921568627,0.06103046411776733,0.9550194234307913,0.14611898557966357
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5560349067449536,17,9741,3,14,15,9726,0.17647058823529413,0.16666666666666666,0.001539882968894364,0.9671159501681795,0.09398803486355696
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4193728637695301,17,9741,6,11,56,9685,0.35294117647058826,0.0967741935483871,0.005748896417205626,0.9671159501681795,0.09398803486355696
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.35069018363952653,17,9741,8,9,174,9567,0.47058823529411764,0.04395604395604396,0.017862642439174622,0.9671159501681795,0.09398803486355696
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008005865197628702,17,9741,15,2,585,9156,0.8823529411764706,0.025,0.0600554357868802,0.9671159501681795,0.09398803486355696
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.5560349067449536,14,9724,1,13,26,9698,0.07142857142857142,0.037037037037037035,0.00267379679144385,0.9738056061585474,0.06193572167938542
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4193728637695301,14,9724,7,7,69,9655,0.5,0.09210526315789473,0.007095845331139449,0.9738056061585474,0.06193572167938542
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.35069018363952653,14,9724,9,5,129,9595,0.6428571428571429,0.06521739130434782,0.013266145619086796,0.9738056061585474,0.06193572167938542
feat_triple_asfd7_diff_cid30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.008005865197628702,14,9724,12,2,517,9207,0.8571428571428571,0.022684310018903593,0.053167420814479636,0.9738056061585474,0.06193572167938542
