days_before,mean_abs_ig,q25,q75
13,0.1125663,0.07751471,0.108503655
12,0.082733594,0.046808124,0.07424435
11,0.037224025,0.024018597,0.030927557
10,0.033850264,0.027312854,0.03152675
9,0.01980647,0.010176796,0.011845063
8,0.019057196,0.004124009,0.007416156
7,0.014976615,0.002938629,0.008607989
6,0.016014269,0.0058891755,0.0124509875
5,0.018511947,0.0052636936,0.010981677
4,0.025887802,0.010732648,0.018233176
3,0.046385232,0.022070188,0.037464634
2,0.082570225,0.058776747,0.08602383
1,0.25235176,0.1848174,0.2626769
0,0.3608834,0.30938387,0.3724389
