experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8554947575449944,16,9782,4,12,14,9768,0.25,0.2222222222222222,0.0014312001635657329,0.9726410754446942,0.17729287698224627
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7590529989600179,16,9782,8,8,72,9710,0.5,0.1,0.007360457984052341,0.9726410754446942,0.17729287698224627
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.7223648065328601,16,9782,8,8,116,9666,0.5,0.06451612903225806,0.011858515640973216,0.9726410754446942,0.17729287698224627
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.5275268605351444,16,9782,14,2,487,9295,0.875,0.027944111776447105,0.04978531997546514,0.9726410754446942,0.17729287698224627
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8554947575449944,17,9741,4,13,17,9724,0.23529411764705882,0.19047619047619047,0.0017452006980802793,0.9477889092193699,0.12441281742818965
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7590529989600179,17,9741,7,10,79,9662,0.4117647058823529,0.08139534883720931,0.00811005030284365,0.9477889092193699,0.12441281742818965
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.7223648065328601,17,9741,7,10,123,9618,0.4117647058823529,0.05384615384615385,0.012627040344933785,0.9477889092193699,0.12441281742818965
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.5275268605351444,17,9741,13,4,529,9212,0.7647058823529411,0.023985239852398525,0.05430653936967457,0.9477889092193699,0.12441281742818965
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8554947575449944,14,9724,1,13,25,9699,0.07142857142857142,0.038461538461538464,0.0025709584533113944,0.9460980196274313,0.040297301682631154
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7590529989600179,14,9724,3,11,103,9621,0.21428571428571427,0.02830188679245283,0.010592348827642945,0.9460980196274313,0.040297301682631154
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.7223648065328601,14,9724,4,10,151,9573,0.2857142857142857,0.025806451612903226,0.015528589058000824,0.9460980196274313,0.040297301682631154
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.5275268605351444,14,9724,11,3,541,9183,0.7857142857142857,0.019927536231884056,0.055635540929658577,0.9460980196274313,0.040297301682631154
