experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9801269583755503,16,9782,1,15,5,9777,0.0625,0.16666666666666666,0.0005111429155591903,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9594850882397296,16,9782,6,10,51,9731,0.375,0.10526315789473684,0.005213657738703741,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9426646389479915,16,9782,8,8,101,9681,0.5,0.07339449541284404,0.010325086894295645,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8065557633673819,16,9782,15,1,499,9283,0.9375,0.029182879377431907,0.0510120629728072,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9801269583755503,17,9741,1,16,2,9739,0.058823529411764705,0.3333333333333333,0.0002053177291859152,0.9377766505431862,0.09843929162372708
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9594850882397296,17,9741,4,13,42,9699,0.23529411764705882,0.08695652173913043,0.004311672312904219,0.9377766505431862,0.09843929162372708
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9426646389479915,17,9741,8,9,77,9664,0.47058823529411764,0.09411764705882353,0.007904732573657735,0.9377766505431862,0.09843929162372708
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8065557633673819,17,9741,13,4,467,9274,0.7647058823529411,0.027083333333333334,0.0479416897649112,0.9377766505431862,0.09843929162372708
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9801269583755503,14,9724,0,14,4,9720,0.0,0.0,0.00041135335252982314,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9594850882397296,14,9724,2,12,46,9678,0.14285714285714285,0.041666666666666664,0.004730563554092966,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9426646389479915,14,9724,4,10,93,9631,0.2857142857142857,0.041237113402061855,0.009563965446318387,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8065557633673819,14,9724,11,3,468,9256,0.7857142857142857,0.022964509394572025,0.0481283422459893,0.97110242698478,0.0411452555517859
