experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9980335298776624,16,9782,2,14,16,9766,0.125,0.1111111111111111,0.001635657329789409,0.9270471273768146,0.13452861446780068
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9887996733188625,16,9782,9,7,55,9727,0.5625,0.140625,0.005622572071151094,0.9270471273768146,0.13452861446780068
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9716324305534364,16,9782,11,5,116,9666,0.6875,0.08661417322834646,0.011858515640973216,0.9270471273768146,0.13452861446780068
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9178515851497647,16,9782,12,4,495,9287,0.75,0.023668639053254437,0.05060314864035984,0.9270471273768146,0.13452861446780068
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9980335298776624,17,9741,4,13,19,9722,0.23529411764705882,0.17391304347826086,0.0019505184272661945,0.925614594467291,0.09828699235107415
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9887996733188625,17,9741,7,10,58,9683,0.4117647058823529,0.1076923076923077,0.005954214146391541,0.925614594467291,0.09828699235107415
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9716324305534364,17,9741,10,7,112,9629,0.5882352941176471,0.08196721311475409,0.011497792834411252,0.925614594467291,0.09828699235107415
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9178515851497647,17,9741,11,6,451,9290,0.6470588235294118,0.023809523809523808,0.04629914793142388,0.925614594467291,0.09828699235107415
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9980335298776624,14,9724,3,11,27,9697,0.21428571428571427,0.1,0.0027766351295763062,0.9676279602750191,0.0760983208760899
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9887996733188625,14,9724,6,8,70,9654,0.42857142857142855,0.07894736842105263,0.007198683669271904,0.9676279602750191,0.0760983208760899
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9716324305534364,14,9724,7,7,133,9591,0.5,0.05,0.013677498971616618,0.9676279602750191,0.0760983208760899
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9178515851497647,14,9724,10,4,442,9282,0.7142857142857143,0.022123893805309734,0.045454545454545456,0.9676279602750191,0.0760983208760899
