experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9983050768375397,16,9782,5,11,15,9767,0.3125,0.25,0.001533428746677571,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9947774517536163,16,9782,8,8,57,9725,0.5,0.12307692307692308,0.00582702923737477,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9893780088424683,16,9782,11,5,112,9670,0.6875,0.08943089430894309,0.011449601308525863,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9049640595912933,16,9782,15,1,504,9278,0.9375,0.028901734104046242,0.05152320588836639,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9983050768375397,17,9741,4,13,18,9723,0.23529411764705882,0.18181818181818182,0.0018478595626732369,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9947774517536163,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9893780088424683,17,9741,10,7,111,9630,0.5882352941176471,0.08264462809917356,0.011395133969818293,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9049640595912933,17,9741,14,3,499,9242,0.8235294117647058,0.02729044834307992,0.05122677343188584,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9983050768375397,14,9724,3,11,20,9704,0.21428571428571427,0.13043478260869565,0.0020567667626491155,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9947774517536163,14,9724,6,8,61,9663,0.42857142857142855,0.08955223880597014,0.006273138626079803,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9893780088424683,14,9724,7,7,131,9593,0.5,0.050724637681159424,0.013471822295351706,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9049640595912933,14,9724,11,3,501,9223,0.7857142857142857,0.021484375,0.051522007404360345,0.9750763941940412,0.1427057217148762
