experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9918827177286145,16,9782,3,13,16,9766,0.1875,0.15789473684210525,0.001635657329789409,0.9266701594765897,0.201124839538193
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9869849270582198,16,9782,7,9,70,9712,0.4375,0.09090909090909091,0.007156000817828665,0.9266701594765897,0.201124839538193
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9834487664699555,16,9782,9,7,112,9670,0.5625,0.0743801652892562,0.011449601308525863,0.9266701594765897,0.201124839538193
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8743012249469757,16,9782,12,4,486,9296,0.75,0.024096385542168676,0.0496830913923533,0.9266701594765897,0.201124839538193
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9918827177286145,17,9741,6,11,20,9721,0.35294117647058826,0.23076923076923078,0.002053177291859152,0.9073533940832261,0.14315381386826617
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9869849270582198,17,9741,8,9,80,9661,0.47058823529411764,0.09090909090909091,0.008212709167436608,0.9073533940832261,0.14315381386826617
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9834487664699555,17,9741,8,9,119,9622,0.47058823529411764,0.06299212598425197,0.012216404886561954,0.9073533940832261,0.14315381386826617
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8743012249469757,17,9741,11,6,486,9255,0.6470588235294118,0.022132796780684104,0.04989220819217739,0.9073533940832261,0.14315381386826617
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9918827177286145,14,9724,1,13,26,9698,0.07142857142857142,0.037037037037037035,0.00267379679144385,0.962640300875595,0.10947937295317046
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9869849270582198,14,9724,4,10,99,9625,0.2857142857142857,0.038834951456310676,0.010180995475113122,0.962640300875595,0.10947937295317046
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9834487664699555,14,9724,7,7,146,9578,0.5,0.0457516339869281,0.015014397367338544,0.962640300875595,0.10947937295317046
imb_ros,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8743012249469757,14,9724,10,4,515,9209,0.7142857142857143,0.01904761904761905,0.05296174413821473,0.962640300875595,0.10947937295317046
