experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9078677482604934,16,9782,5,11,16,9766,0.3125,0.23809523809523808,0.001635657329789409,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7555791896581648,16,9782,9,7,63,9719,0.5625,0.125,0.006440400736045799,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.6294263458251955,16,9782,10,6,118,9664,0.625,0.078125,0.012062972807196893,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1553011447191224,16,9782,15,1,518,9264,0.9375,0.028142589118198873,0.05295440605193212,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9078677482604934,17,9741,4,13,16,9725,0.23529411764705882,0.2,0.0016425418334873217,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7555791896581648,17,9741,7,10,64,9677,0.4117647058823529,0.09859154929577464,0.006570167333949287,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.6294263458251955,17,9741,9,8,124,9617,0.5294117647058824,0.06766917293233082,0.012729699209526742,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1553011447191224,17,9741,13,4,501,9240,0.7647058823529411,0.02529182879377432,0.05143209116107176,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9078677482604934,14,9724,3,11,25,9699,0.21428571428571427,0.10714285714285714,0.0025709584533113944,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7555791896581648,14,9724,7,7,83,9641,0.5,0.07777777777777778,0.00853558206499383,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.6294263458251955,14,9724,7,7,147,9577,0.5,0.045454545454545456,0.015117235705470999,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1553011447191224,14,9724,12,2,520,9204,0.8571428571428571,0.022556390977443608,0.053475935828877004,0.9728727155197744,0.07365015463105778
