experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9977672019004822,16,9782,4,12,9,9773,0.25,0.3076923076923077,0.0009200572480065427,0.9337239317113064,0.18665337156951828
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9914437806606292,16,9782,9,7,72,9710,0.5625,0.1111111111111111,0.007360457984052341,0.9337239317113064,0.18665337156951828
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9862642419338227,16,9782,9,7,121,9661,0.5625,0.06923076923076923,0.012369658556532406,0.9337239317113064,0.18665337156951828
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9070114493370055,16,9782,13,3,498,9284,0.8125,0.025440313111545987,0.05090983438969536,0.9337239317113064,0.18665337156951828
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9977672019004822,17,9741,5,12,13,9728,0.29411764705882354,0.2777777777777778,0.0013345652397084489,0.9040200003623253,0.1471508367107132
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9914437806606292,17,9741,7,10,74,9667,0.4117647058823529,0.08641975308641975,0.007596755979878862,0.9040200003623253,0.1471508367107132
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9862642419338227,17,9741,9,8,127,9614,0.5294117647058824,0.0661764705882353,0.013037675803305615,0.9040200003623253,0.1471508367107132
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9070114493370055,17,9741,11,6,487,9254,0.6470588235294118,0.02208835341365462,0.04999486705677035,0.9040200003623253,0.1471508367107132
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9977672019004822,14,9724,1,13,23,9701,0.07142857142857142,0.041666666666666664,0.002365281777046483,0.9528045483927836,0.06255969975258924
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9914437806606292,14,9724,5,9,87,9637,0.35714285714285715,0.05434782608695652,0.008946935417523652,0.9528045483927836,0.06255969975258924
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9862642419338227,14,9724,6,8,157,9567,0.42857142857142855,0.03680981595092025,0.016145619086795557,0.9528045483927836,0.06255969975258924
imb_smote_enn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.9070114493370055,14,9724,11,3,507,9217,0.7857142857142857,0.021235521235521235,0.05213903743315508,0.9528045483927836,0.06255969975258924
