experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9962349001169203,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9220315375178901,0.09664821522748775
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9904240244626997,16,9782,6,10,59,9723,0.375,0.09230769230769231,0.006031486403598446,0.9220315375178901,0.09664821522748775
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.985978103876114,16,9782,9,7,112,9670,0.5625,0.0743801652892562,0.011449601308525863,0.9220315375178901,0.09664821522748775
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8521852195262901,16,9782,11,5,493,9289,0.6875,0.021825396825396824,0.05039869147413617,0.9220315375178901,0.09664821522748775
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9962349001169203,17,9741,6,11,13,9728,0.35294117647058826,0.3157894736842105,0.0013345652397084489,0.9315627698569419,0.16347240632056118
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9904240244626997,17,9741,8,9,60,9681,0.47058823529411764,0.11764705882352941,0.006159531875577456,0.9315627698569419,0.16347240632056118
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.985978103876114,17,9741,10,7,110,9631,0.5882352941176471,0.08333333333333333,0.011292475105225337,0.9315627698569419,0.16347240632056118
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8521852195262901,17,9741,11,6,478,9263,0.6470588235294118,0.022494887525562373,0.04907093727543373,0.9315627698569419,0.16347240632056118
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9962349001169203,14,9724,1,13,21,9703,0.07142857142857142,0.045454545454545456,0.0021596051007815712,0.9471631309866604,0.10331278888166417
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9904240244626997,14,9724,3,11,70,9654,0.21428571428571427,0.0410958904109589,0.007198683669271904,0.9471631309866604,0.10331278888166417
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.985978103876114,14,9724,6,8,131,9593,0.42857142857142855,0.043795620437956206,0.013471822295351706,0.9471631309866604,0.10331278888166417
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8521852195262901,14,9724,10,4,497,9227,0.7142857142857143,0.01972386587771203,0.051110654051830524,0.9471631309866604,0.10331278888166417
