experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8605720107555322,16,9782,4,12,15,9767,0.25,0.21052631578947367,0.001533428746677571,0.9357493355142098,0.28027432507862454
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6651732856035182,16,9782,11,5,59,9723,0.6875,0.15714285714285714,0.006031486403598446,0.9357493355142098,0.28027432507862454
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.5689844334125524,16,9782,11,5,109,9673,0.6875,0.09166666666666666,0.01114291555919035,0.9357493355142098,0.28027432507862454
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11819617301225638,16,9782,13,3,489,9293,0.8125,0.025896414342629483,0.04998977714168882,0.9357493355142098,0.28027432507862454
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8605720107555322,17,9741,4,13,16,9725,0.23529411764705882,0.2,0.0016425418334873217,0.9001431185347559,0.17929859732107703
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6651732856035182,17,9741,9,8,66,9675,0.5294117647058824,0.12,0.006775485063135201,0.9001431185347559,0.17929859732107703
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.5689844334125524,17,9741,9,8,117,9624,0.5294117647058824,0.07142857142857142,0.01201108715737604,0.9001431185347559,0.17929859732107703
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11819617301225638,17,9741,14,3,468,9273,0.8235294117647058,0.029045643153526972,0.04804434862950416,0.9001431185347559,0.17929859732107703
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8605720107555322,14,9724,3,11,21,9703,0.21428571428571427,0.125,0.0021596051007815712,0.9703752130222719,0.07390310518402236
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6651732856035182,14,9724,6,8,88,9636,0.42857142857142855,0.06382978723404255,0.00904977375565611,0.9703752130222719,0.07390310518402236
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.5689844334125524,14,9724,7,7,142,9582,0.5,0.04697986577181208,0.014603044014808721,0.9703752130222719,0.07390310518402236
imb_stride_30,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11819617301225638,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9703752130222719,0.07390310518402236
