experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc,arm
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9902207446098324,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183,0.956437845021468,0.2684546740462048,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9780942940711974,16,9782,8,8,49,9733,0.5,0.1403508771929824,0.00500920057248,0.956437845021468,0.2684546740462048,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9724228858947754,16,9782,11,5,98,9684,0.6875,0.1009174311926605,0.0100184011449601,0.956437845021468,0.2684546740462048,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8831698477268216,16,9782,13,3,490,9292,0.8125,0.025844930417495,0.0500920057248006,0.956437845021468,0.2684546740462048,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9905685663223268,17,9741,3,14,10,9731,0.1764705882352941,0.2307692307692307,0.0010265886459295,0.9438335235541708,0.1955699572555405,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9776113033294676,17,9741,6,11,49,9692,0.3529411764705882,0.109090909090909,0.0050302843650549,0.9438335235541708,0.1955699572555405,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9716691970825198,17,9741,7,10,98,9643,0.4117647058823529,0.0666666666666666,0.0100605687301098,0.9438335235541708,0.1955699572555405,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8885018229484558,17,9741,11,6,488,9253,0.6470588235294118,0.0220440881763527,0.0500975259213633,0.9438335235541708,0.1955699572555405,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9910564289093018,14,9724,3,11,10,9714,0.2142857142857142,0.2307692307692307,0.0010283833813245,0.9685902332961156,0.1510507787708909,adasyn
imb_adasyn,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.982837427854538,14,9724,5,9,49,9675,0.3571428571428571,0.0925925925925925,0.0050390785684903,0.9685902332961156,0.1510507787708909,adasyn
