arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
rusboost,RUSBoost (부스팅 매 회차 RUS),xgboost_rusboost,0.001,47,29247,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.01818181818181818,0.06462201251410402
rus_1,무작위 언더샘플링 1:1,xgboost,0.001,47,29247,18,29,157,29090,0.9541351667456933,0.3829787234042553,0.10285714285714286,0.005368071939002291
match_val,학습 유병률을 val 창에 정합,xgboost,0.001,47,29247,10,37,41,29206,0.9614316318761599,0.2127659574468085,0.19607843137254902,0.0014018531815228913
ros,RUS 1:50 + 무작위 오버샘플링 1:1,xgboost,0.001,47,29247,9,38,55,29192,0.9601399113016192,0.19148936170212766,0.140625,0.0018805347557014395
none,처리 없음 (전 표본),xgboost,0.001,47,29247,7,40,34,29213,0.9598873333264119,0.14893617021276595,0.17073170731707318,0.0011625123944336172
rus_50,무작위 언더샘플링 1:50,xgboost,0.001,47,29247,7,40,41,29206,0.9573147539630567,0.14893617021276595,0.14583333333333334,0.0014018531815228913
easy_ensemble,EasyEnsemble (RUS 부분표본 10개 x AdaBoost),xgboost_easy_ensemble,0.001,47,29247,6,41,39,29208,0.9576498487937651,0.1276595744680851,0.13333333333333333,0.0013334700994973843
stride_30,시간축 언더샘플링 (음성 30일 간격),xgboost,0.001,47,29247,6,41,30,29217,0.9660432840972714,0.1276595744680851,0.16666666666666666,0.0010257462303826033
borderline_smote,RUS 1:50 + Borderline-SMOTE 1:1,xgboost,0.001,47,29247,3,44,24,29223,0.9526631738294137,0.06382978723404255,0.1111111111111111,0.0008205969843060826
rus_10,무작위 언더샘플링 1:10,xgboost,0.001,47,29247,3,44,13,29234,0.9477816559095715,0.06382978723404255,0.1875,0.0004444900331657948
adasyn,RUS 1:50 + ADASYN 1:1,xgboost,0.001,47,29247,2,45,16,29231,0.9543880256506737,0.0425531914893617,0.1111111111111111,0.0005470646562040552
cost,비용민감 가중 (전 표본),xgboost,0.001,47,29247,2,45,13,29234,0.9614112945808125,0.0425531914893617,0.13333333333333333,0.0004444900331657948
smote,RUS 1:50 + SMOTE 1:1,xgboost,0.001,47,29247,2,45,21,29226,0.9498612070849175,0.0425531914893617,0.08695652173913043,0.0007180223612678223
smote_tomek,RUS 1:50 + SMOTE + Tomek link 정리,xgboost,0.001,47,29247,2,45,19,29228,0.9540577503488769,0.0425531914893617,0.09523809523809523,0.0006496392792423155
balanced_bagging,Balanced Bagging (RUS 1:1 부분표본 10개 x 셀렉 모델),xgboost_balanced_bagging,0.001,47,29247,1,46,24,29223,0.963509363739746,0.02127659574468085,0.04,0.0008205969843060826
balanced_rf,Balanced Random Forest (트리마다 RUS),xgboost_balanced_rf,0.001,47,29247,0,47,18,29229,0.9609377766790231,0.0,0.0,0.000615447738229562
rusboost,RUSBoost (부스팅 매 회차 RUS),xgboost_rusboost,0.005,47,29247,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.01818181818181818,0.06462201251410402
none,처리 없음 (전 표본),xgboost,0.005,47,29247,27,20,221,29026,0.9598873333264119,0.574468085106383,0.10887096774193548,0.007556330563818511
match_val,학습 유병률을 val 창에 정합,xgboost,0.005,47,29247,21,26,174,29073,0.9614316318761599,0.44680851063829785,0.1076923076923077,0.0059493281362191
rus_1,무작위 언더샘플링 1:1,xgboost,0.005,47,29247,21,26,196,29051,0.9541351667456933,0.44680851063829785,0.0967741935483871,0.006701542038499675
rus_10,무작위 언더샘플링 1:10,xgboost,0.005,47,29247,20,27,177,29070,0.9477816559095715,0.425531914893617,0.10152284263959391,0.00605190275925736
easy_ensemble,EasyEnsemble (RUS 부분표본 10개 x AdaBoost),xgboost_easy_ensemble,0.005,47,29247,18,29,184,29063,0.9576498487937651,0.3829787234042553,0.0891089108910891,0.006291243546346634
balanced_bagging,Balanced Bagging (RUS 1:1 부분표본 10개 x 셀렉 모델),xgboost_balanced_bagging,0.005,47,29247,17,30,174,29073,0.963509363739746,0.3617021276595745,0.08900523560209424,0.0059493281362191
rus_50,무작위 언더샘플링 1:50,xgboost,0.005,47,29247,16,31,149,29098,0.9573147539630567,0.3404255319148936,0.09696969696969697,0.005094539610900263
stride_30,시간축 언더샘플링 (음성 30일 간격),xgboost,0.005,47,29247,16,31,157,29090,0.9660432840972714,0.3404255319148936,0.09248554913294797,0.005368071939002291
ros,RUS 1:50 + 무작위 오버샘플링 1:1,xgboost,0.005,47,29247,15,32,142,29105,0.9601399113016192,0.3191489361702128,0.09554140127388536,0.004855198823810989
balanced_rf,Balanced Random Forest (트리마다 RUS),xgboost_balanced_rf,0.005,47,29247,10,37,127,29120,0.9609377766790231,0.2127659574468085,0.072992700729927,0.004342325708619687
borderline_smote,RUS 1:50 + Borderline-SMOTE 1:1,xgboost,0.005,47,29247,8,39,104,29143,0.9526631738294137,0.1702127659574468,0.07142857142857142,0.0035559202653263583
cost,비용민감 가중 (전 표본),xgboost,0.005,47,29247,8,39,97,29150,0.9614112945808125,0.1702127659574468,0.0761904761904762,0.003316579478237084
adasyn,RUS 1:50 + ADASYN 1:1,xgboost,0.005,47,29247,7,40,74,29173,0.9543880256506737,0.14893617021276595,0.08641975308641975,0.002530174034943755
smote_tomek,RUS 1:50 + SMOTE + Tomek link 정리,xgboost,0.005,47,29247,7,40,101,29146,0.9540577503488769,0.14893617021276595,0.06481481481481481,0.0034533456422880977
