trial,pauc,epochs,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size
9,0.8944825137213125,13,32,1,,0.00454862420872194,1.044195710380448e-06,2048
24,0.893891915411106,12,32,3,0.2570585035563863,0.001445645574529914,2.02827323964788e-06,2048
28,0.8934726925733831,9,64,3,0.10879169428955446,0.0006058850078545352,4.386557701364615e-06,1024
26,0.8925840499632053,12,64,3,0.10149437427430774,0.000661471691482415,6.115221751408878e-06,2048
5,0.8919310976481365,13,256,1,,0.000856291327881824,9.499535455183802e-06,2048
21,0.8919059991807703,12,32,3,0.36305227307344534,0.002093486172248558,0.00023802831647492856,2048
20,0.8901996955634341,10,32,2,0.38163479060614924,0.0018840766469311323,9.939442933775162e-05,2048
4,0.8890859510740674,19,128,1,,0.0004274218324036844,2.849988343697162e-05,2048
11,0.8885604519135916,8,256,2,0.006524472532223297,0.0018702251058139963,1.0623428512936806e-06,2048
1,0.8885549616238552,28,128,1,,0.00010975815419380165,0.002140323314098607,2048
0,0.888437312558077,14,64,2,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,512
2,0.886558849141152,13,32,2,0.0716766437045232,0.007750644796341917,0.00012229065947034367,2048
3,0.881740139488654,14,256,2,0.30846699843737846,0.007717846862118065,0.0005336803302756717,2048
