trial,pauc,epochs,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size
1,0.8948413028322816,19,128,1,,0.00010975815419380165,0.002140323314098607,2048
9,0.893760032622084,14,32,1,,0.00454862420872194,1.044195710380448e-06,2048
20,0.8931680164017639,13,32,2,0.38163479060614924,0.0004427218564778149,3.006501199068537e-05,2048
12,0.8926618499158617,12,128,1,,0.003397272143832779,5.621694103638346e-05,2048
27,0.8913007337250377,12,64,1,,0.0010947840118970347,7.160296530634848e-05,512
10,0.8908358983507758,13,128,3,0.47638913043005787,0.00010967097042542117,0.0004870092565087602,512
4,0.8898583838279589,18,128,1,,0.0004274218324036844,2.849988343697162e-05,2048
49,0.8885524970039212,14,32,2,0.25016933575948497,0.0018107151126417343,2.525289972495518e-05,1024
2,0.8884172252592668,17,32,2,0.0716766437045232,0.007750644796341917,0.00012229065947034367,2048
0,0.8882945225623241,9,64,2,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,512
38,0.8560379075938155,6,256,2,0.11640397639767758,0.0035843980163891543,0.005363376825798307,2048
3,0.7175169590954458,7,256,2,0.30846699843737846,0.007717846862118065,0.0005336803302756717,2048
