experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9788309646228963,16,9782,1,15,10,9772,0.0625,0.09090909090909091,0.0010222858311183807,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9598715890826287,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9430034425207908,16,9782,8,8,98,9684,0.5,0.07547169811320754,0.01001840114496013,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.809104814970466,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9676063177264362,0.08184629024000138
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9752805726955992,17,9741,1,16,10,9731,0.058823529411764705,0.09090909090909091,0.001026588645929576,0.9377766505431862,0.0984392916237271
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9550103266825783,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.9377766505431862,0.0984392916237271
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9331857045230552,17,9741,8,9,98,9643,0.47058823529411764,0.07547169811320754,0.010060568730109845,0.9377766505431862,0.0984392916237271
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.801499580328363,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.9377766505431862,0.0984392916237271
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9785530086095574,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245578,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9587466035996688,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9412300308036543,14,9724,4,10,98,9626,0.2857142857142857,0.0392156862745098,0.010078157136980667,0.97110242698478,0.0411452555517859
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8025292198177674,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.97110242698478,0.0411452555517859
