experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9988783555626868,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183807,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9952662748098373,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9910187947750092,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9096833407878872,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.9339092210181966,0.3500646604400947
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9988403367996216,17,9741,3,14,10,9731,0.17647058823529413,0.23076923076923078,0.001026588645929576,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9947145402431486,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9907607316970826,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9074015617370605,17,9741,14,3,488,9253,0.8235294117647058,0.027888446215139442,0.05009752592136331,0.9546549756336166,0.16019346568284312
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9993837956786156,14,9724,2,12,10,9714,0.14285714285714285,0.16666666666666666,0.0010283833813245578,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9959764504432679,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9921481996774674,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9750763941940412,0.1427057217148762
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9114041566848757,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9750763941940412,0.1427057217148762
