experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9847445715069768,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9768194776773451,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9674012976884843,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8372387975454325,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9852648413181305,17,9741,1,16,10,9731,0.058823529411764705,0.09090909090909091,0.001026588645929576,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9748567938804623,17,9741,4,13,49,9692,0.23529411764705882,0.07547169811320754,0.005030284365054922,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9654401898384095,17,9741,4,13,98,9643,0.23529411764705882,0.0392156862745098,0.010060568730109845,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8351540565490723,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.985546578168869,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9728714978694916,14,9724,5,9,49,9675,0.35714285714285715,0.09259259259259259,0.005039078568490334,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9643854141235352,14,9724,5,9,98,9626,0.35714285714285715,0.04854368932038835,0.010078157136980667,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8290312796831132,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9785802432861256,0.08628957663877047
