experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9265388178825359,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183807,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7958374467492099,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6600384253263478,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.1646637305617331,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.05009200572480065,0.953894909016561,0.2177690793143056
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9573967874050161,17,9741,3,14,10,9731,0.17647058823529413,0.23076923076923078,0.001026588645929576,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7847607612609822,17,9741,6,11,49,9692,0.35294117647058826,0.10909090909090909,0.005030284365054922,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6658699393272411,17,9741,8,9,98,9643,0.47058823529411764,0.07547169811320754,0.010060568730109845,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.1638759821653366,17,9741,13,4,488,9253,0.7647058823529411,0.02594810379241517,0.05009752592136331,0.947662095327814,0.15126468015285569
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9793977951407435,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.8330761361122135,14,9724,6,8,49,9675,0.42857142857142855,0.10909090909090909,0.005039078568490334,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.7155719882249838,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9728727155197744,0.07365015463105778
imb_rus_50,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.18373827189207156,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9728727155197744,0.07365015463105778
