,randomforest,xgboost,lightgbm,mlp,gru,lstm,cnn1d,tcn
2025-12|2AGGHX1Y,False,False,False,False,False,False,False,False
2025-12|2AGHMXVY,True,True,False,True,True,True,True,True
2025-12|2AGJHTVY,True,False,True,False,False,False,True,False
2025-12|2AGM5V7Y,False,False,True,True,True,True,True,True
2025-12|2AGM9TGY,False,False,False,False,False,False,False,False
2025-12|2AGMDUWY,True,True,True,True,True,True,True,True
2025-12|2AGMLUYY,True,True,False,True,True,True,True,True
2025-12|2AGN9H0Y,True,True,True,True,True,True,True,True
2025-12|2AGNDAEY,True,True,True,True,True,True,True,True
2025-12|8HJ2AVSH,False,False,False,True,True,True,True,True
2025-12|AAG67VKH,True,False,False,True,False,False,True,False
2025-12|AAG6NKEH,False,False,False,False,False,False,False,False
2025-12|AAG7PZ3H,True,True,False,True,True,True,True,True
2025-12|AAHKXKMH,True,True,True,True,True,False,True,False
2025-12|AAHLXRAH,True,False,False,True,True,True,True,True
2025-12|AAHMGJHH,False,False,False,False,False,False,False,False
2026-01|2AGMKV4Y,True,True,True,True,True,True,True,True
2026-01|2AGMNMTY,True,True,True,True,True,True,True,True
2026-01|2AGMNUGY,False,False,False,False,False,False,False,False
2026-01|2AGN7YXY,False,False,False,False,False,False,False,False
2026-01|2AGPJD2Y,False,False,False,False,False,False,False,True
2026-01|2AGPJLMY,True,True,True,True,False,True,True,True
2026-01|2AGPRRMY,True,True,True,True,True,True,True,True
2026-01|8HJ98Z2H,False,True,False,True,True,True,True,True
2026-01|AAG4A9YH,True,True,True,True,True,True,True,False
2026-01|AAG5Y43H,True,True,True,True,True,True,True,True
2026-01|AAG5Y5GH,False,False,False,False,False,False,False,False
2026-01|AAG63J8H,True,False,False,True,True,False,True,True
2026-01|AAG6LD4H,True,True,True,True,True,True,True,True
2026-01|AAHKERJH,False,False,False,False,False,False,False,False
2026-01|AAHL0NBH,True,True,True,True,True,True,True,True
2026-01|AAHLS9WH,True,False,True,False,True,True,False,False
2026-01|AAHMV1PH,False,False,False,False,False,False,False,False
2026-02|2AGMLZLY,False,False,False,True,True,True,True,True
2026-02|2AGMNAPY,False,False,False,False,False,False,True,False
2026-02|2AGMZP3Y,False,False,False,False,False,False,False,False
2026-02|2AGNE9RY,True,True,True,True,True,True,True,True
2026-02|2AGNJUKY,False,True,False,False,False,True,False,False
2026-02|2AGPUSJY,True,False,True,False,True,False,True,True
2026-02|8CH0R07E,False,False,False,True,True,False,True,True
2026-02|AAG2JGJH,False,False,False,False,False,False,False,False
2026-02|AAG61V9H,True,True,True,True,True,True,True,True
2026-02|AAG67UNH,False,False,False,False,False,False,False,False
2026-02|AAH97B9H,True,True,False,True,True,True,True,True
2026-02|AAHH870H,False,False,False,False,False,False,False,False
2026-02|AAHKXJTH,True,True,True,True,True,True,True,True
2026-02|AAHMPYBH,False,False,False,True,True,False,True,True
