experiment,drive,model,features,train_window,train_months,val_months,n_test_months,sampling,seed,test_window,design,n_train_rows,n_test_failed,r001,r005,r01,r05,far01,r01_month_sd,roc_auc,far_drift,recorded_at,config
baseline,HGST_20HUH721212ALN604,"randomforest,xgboost,lightgbm,mlp",raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,188,0.2212,0.46,0.525,0.8101,0.01255,0.0488,0.9649,0.027,2026-09-05 20:59,configs/experiments/baseline.yaml
tosimb_bagging_r1,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.318,0.5468,0.7035,0.8215,0.01238,0.0613,0.9063,0.995,2026-09-05 20:59,configs/experiments/tosimb_bagging_r1.yaml
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2848,0.5651,0.7575,0.8154,0.01136,0.0553,0.9041,0.983,2026-09-05 20:59,configs/experiments/tosimb_focal_g1.yaml
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2187,0.5846,0.7549,0.8185,0.01144,0.0517,0.9006,0.859,2026-09-05 20:59,configs/experiments/tosimb_focal_g2.yaml
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.1127,0.5404,0.7311,0.8267,0.0105,0.0493,0.9111,0.978,2026-09-05 20:59,configs/experiments/tosimb_focal_g2auto.yaml
tosimb_focal_g5,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2292,0.5143,0.7161,0.8185,0.01089,0.0254,0.9027,0.988,2026-09-05 20:59,configs/experiments/tosimb_focal_g5.yaml
tosimb_match_val,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,match_val,42,2025-09~2026-02,이전 분할,,159,0.2306,0.5874,0.7214,0.8267,0.01159,0.0343,0.9044,0.99,2026-09-05 20:59,configs/experiments/tosimb_match_val.yaml
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.264,0.579,0.7376,0.8215,0.01118,0.038,0.9017,0.987,2026-09-05 20:59,configs/experiments/tosimb_none.yaml
tosimb_posweight,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2094,0.5559,0.7311,0.8267,0.01021,0.0493,0.9025,0.984,2026-09-05 20:59,configs/experiments/tosimb_posweight.yaml
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,계통2,42,2025-09~2026-02,이전 분할,,159,0.2911,0.5837,0.7444,0.8101,0.01098,0.0674,0.904,0.983,2026-09-05 20:59,configs/experiments/tosimb_stride2.yaml
tosimb_stride4,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,계통4,42,2025-09~2026-02,이전 분할,,159,0.2154,0.5895,0.7138,0.8277,0.01062,0.0781,0.9051,0.941,2026-09-05 20:59,configs/experiments/tosimb_stride4.yaml
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,계통7,42,2025-09~2026-02,이전 분할,,159,0.2663,0.5507,0.7066,0.8053,0.01106,0.0698,0.9035,0.786,2026-09-05 20:59,configs/experiments/tosimb_stride7.yaml
toslb_14,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.264,0.579,0.7376,0.8215,0.01118,0.038,0.9017,0.987,2026-09-05 20:59,configs/experiments/toslb_14.yaml
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,7,none,42,2025-09~2026-03,이전 분할,,194,0.3215,0.6679,0.7662,0.8199,0.01316,0.0553,0.9086,0.967,2026-09-05 20:59,configs/experiments/toslb_21.yaml
toslb_30,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-10~2026-03,현행,,162,0.3575,0.6614,0.7548,0.8342,0.01383,0.0424,0.9038,0.908,2026-09-05 20:59,configs/experiments/toslb_30.yaml
toslb_7,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2768,0.5844,0.7368,0.8004,0.01125,0.0679,0.8978,0.988,2026-09-05 20:59,configs/experiments/toslb_7.yaml
win10_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.1536,0.4995,0.6083,0.8064,0.0091,0.083,0.9414,0.819,2026-09-05 20:59,configs/experiments/win10_asfd7.yaml
win12_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,12,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2099,0.4858,0.5722,0.7746,0.0092,0.0825,0.9415,0.719,2026-09-05 20:59,configs/experiments/win12_asfd7.yaml
win16_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,16,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2526,0.4505,0.6083,0.7927,0.01049,0.083,0.9466,0.832,2026-09-05 20:59,configs/experiments/win16_asfd7.yaml
win6_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,6,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2028,0.5074,0.5906,0.8257,0.00962,0.0684,0.9405,0.711,2026-09-05 20:59,configs/experiments/win6_asfd7.yaml
win8_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,8,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2216,0.4532,0.5818,0.8156,0.00947,0.107,0.9409,0.887,2026-09-05 20:59,configs/experiments/win8_asfd7.yaml
