experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,far_target,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,11,5,49,9733,0.6875,0.18333333333333332,0.005009200572480065,0.9644052852177469,0.3820223897659805
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,12,4,98,9684,0.75,0.10909090909090909,0.01001840114496013,0.9644052852177469,0.3820223897659805
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,12,4,196,9586,0.75,0.057692307692307696,0.02003680228992026,0.9644052852177469,0.3820223897659805
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,14,2,392,9390,0.875,0.034482758620689655,0.04007360457984052,0.9644052852177469,0.3820223897659805
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9687735888935186,0.23985993789761184
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9687735888935186,0.23985993789761184
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,10,7,195,9546,0.5882352941176471,0.04878048780487805,0.02001847859562673,0.9687735888935186,0.23985993789761184
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9687735888935186,0.23985993789761184
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.951048951048951,0.06423656379036526
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,10,4,98,9626,0.7142857142857143,0.09259259259259259,0.010078157136980667,0.951048951048951,0.06423656379036526
