experiment, drive                 , model       , family  , rule      , far_target, n_seeds, n_failed_pooled, n_healthy_pooled, recall_mean        , recall_sd           , precision_mean      , precision_sd          , far_mean             , far_sd                , roc_auc_mean      , roc_auc_sd           , pr_auc_mean        , pr_auc_sd           , tp_mean, tp_sd
zoo_3month, HGST_20HUH721212ALN604, randomforest, tabular , in_horizon,      0.005,       5,              47,            29247, 0.4595744680851064 , 0.010423360607588007, 0.12810650887573966 , 0.0025364538756630535 , 0.005026156528874756 , 0.0                   , 0.9634567468559921, 0.0023689892525932663, 0.23025727648567376, 0.004204965041481242,    21.6, 0.4898979485566356
zoo_3month, HGST_20HUH721212ALN604, randomforest, tabular , in_horizon,      0.01 ,       5,              47,            29247, 0.6595744680851063 , 0.023307342872560255, 0.09537430618157698 , 0.003058577403649668  , 0.010052313057749512 , 0.0                   , 0.9634567468559921, 0.0023689892525932663, 0.23025727648567376, 0.004204965041481242,    31.0, 1.0954451150103321
zoo_3month, HGST_20HUH721212ALN604, randomforest, tabular , in_horizon,      0.02 ,       5,              47,            29247, 0.7191489361702128 , 0.008510638297872353, 0.05453332638490802 , 0.0006107665850226707 , 0.020036243033473518 , 0.0                   , 0.9634567468559921, 0.0023689892525932663, 0.23025727648567376, 0.004204965041481242,    33.8, 0.4
zoo_3month, HGST_20HUH721212ALN604, randomforest, tabular , in_horizon,      0.04 ,       5,              47,            29247, 0.8382978723404255 , 0.010423360607588007, 0.032551064279913465, 0.00039150111427603746, 0.040038294525934284 , 0.0                   , 0.9634567468559921, 0.0023689892525932663, 0.23025727648567376, 0.004204965041481242,    39.4, 0.4898979485566356
zoo_3month, HGST_20HUH721212ALN604, xgboost     , tabular , in_horizon,      0.005,       5,              47,            29247, 0.39148936170212767, 0.017021276595744685, 0.11122482308111051 , 0.004267827980402833  , 0.005026156528874756 , 0.0                   , 0.969704847591625 , 0.006058855765649078 , 0.15734609361446336, 0.013378343525381262,    18.4, 0.8
zoo_3month, HGST_20HUH721212ALN604, xgboost     , tabular , in_horizon,      0.01 ,       5,              47,            29247, 0.5872340425531914 , 0.039462206363811515, 0.0857904604043164  , 0.00527734275017264   , 0.010052313057749512 , 0.0                   , 0.969704847591625 , 0.006058855765649078 , 0.15734609361446336, 0.013378343525381262,    27.6, 1.8547236990991407
zoo_3month, HGST_20HUH721212ALN604, xgboost     , tabular , in_horizon,      0.02 ,       5,              47,            29247, 0.7148936170212766 , 0.028860978651596886, 0.054224008977409754, 0.002067167914439126  , 0.020036243033473518 , 0.0                   , 0.969704847591625 , 0.006058855765649078 , 0.15734609361446336, 0.013378343525381262,    33.6, 1.3564659966250536
zoo_3month, HGST_20HUH721212ALN604, xgboost     , tabular , in_horizon,      0.04 ,       5,              47,            29247, 0.8297872340425532 , 0.030089650263257352, 0.03223008295766348 , 0.0011311035578607037 , 0.040038294525934284 , 0.0                   , 0.969704847591625 , 0.006058855765649078 , 0.15734609361446336, 0.013378343525381262,    39.0, 1.4142135623730951
zoo_3month, HGST_20HUH721212ALN604, lightgbm    , tabular , in_horizon,      0.005,       5,              47,            29247, 0.39148936170212767, 0.06674207294194946 , 0.11019401758205902 , 0.01723538244961753   , 0.0050671863780900606, 8.205969843060844e-05 , 0.9644833342276202, 0.004875121208551853 , 0.14174753136397894, 0.031217900322058137,    18.4, 3.1368774282716245
zoo_3month, HGST_20HUH721212ALN604, lightgbm    , tabular , in_horizon,      0.01 ,       5,              47,            29247, 0.5404255319148936 , 0.06107531955066947 , 0.07890072976458576 , 0.008618484406085234  , 0.010134372756180121 , 0.00016411939686121688, 0.9644833342276202, 0.004875121208551853 , 0.14174753136397894, 0.031217900322058137,    25.4, 2.870540018881465
