column,mean_abs_shap
smart_197_raw,0.7144215
smart_198_raw,0.1104555
smart_197_raw_asfd7,0.08804859
smart_9_raw,0.08221542
smart_196_raw,0.04698165
smart_5_raw,0.04075441
smart_193_raw_asfd7,0.037072603
smart_1_raw,0.026793962
smart_3_raw,0.014847194
smart_9_raw_asfd7,0.010371447
smart_12_raw,0.009844192
smart_5_raw_asfd7,0.004249592
smart_194_raw,0.0039665764
smart_192_raw,0.003572044
smart_193_raw,0.0026649854
smart_4_raw,0.0021004204
smart_22_raw_asfd7,0.0017110193
smart_198_raw_asfd7,0.00079581694
smart_2_raw,0.0006937291
smart_194_raw_asfd7,0.0003974888
smart_7_raw,0.0
smart_8_raw,0.0
smart_10_raw,0.0
smart_22_raw,0.0
smart_199_raw,0.0
smart_199_raw_asfd7,0.0
