experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.17051616378127613,29,37316,2,27,38,37278,0.06896551724137931,0.05,0.0010183299389002036,0.8501521026387867,0.02293135515507214
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.014713392569684474,29,37316,7,22,187,37129,0.2413793103448276,0.03608247422680412,0.005011255225640476,0.8501521026387867,0.02293135515507214
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005419701873324745,29,37316,8,21,374,36942,0.27586206896551724,0.020942408376963352,0.010022510451280952,0.8501521026387867,0.02293135515507214
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0016847110528033227,29,37316,14,15,1866,35450,0.4827586206896552,0.007446808510638298,0.05000535963125737,0.8501521026387867,0.02293135515507214
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.19547761656343898,27,37286,3,24,38,37248,0.1111111111111111,0.07317073170731707,0.0010191492785495897,0.7791803496893879,0.032879545674048716
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.021695269318297187,27,37286,9,18,187,37099,0.3333333333333333,0.04591836734693878,0.005015287239178244,0.7791803496893879,0.032879545674048716
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0063520743744447895,27,37286,10,17,373,36913,0.37037037037037035,0.02610966057441253,0.01000375476049992,0.7791803496893879,0.032879545674048716
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0018163321365136653,27,37286,15,12,1865,35421,0.5555555555555556,0.007978723404255319,0.0500187738024996,0.7791803496893879,0.032879545674048716
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.3086446084975989,18,37265,1,17,38,37227,0.05555555555555555,0.02564102564102564,0.0010197236012344023,0.8542734469341204,0.007330032853937315
tos_ablate_sector,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03637586519122148,18,37265,2,16,187,37078,0.1111111111111111,0.010582010582010581,0.005018113511337716,0.8542734469341204,0.007330032853937315
