experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15425317628681837,29,37316,5,24,35,37281,0.1724137931034483,0.125,0.0009379354700396613,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.019652020512148736,29,37316,18,11,203,37113,0.6206896551724138,0.08144796380090498,0.0054400257262300356,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037902419292368135,29,37316,22,7,393,36923,0.7586206896551724,0.05301204819277108,0.010531675420731053,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002093664181302297,29,37316,25,4,1979,35337,0.8620689655172413,0.0124750499001996,0.05303355129167113,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15425317628681837,27,37286,9,18,46,37240,0.3333333333333333,0.16363636363636364,0.0012337070214021347,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.019652020512148736,27,37286,18,9,242,37044,0.6666666666666666,0.06923076923076923,0.006490371721289492,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037902419292368135,27,37286,20,7,414,36872,0.7407407407407407,0.04608294930875576,0.011103363192619214,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002093664181302297,27,37286,21,6,2072,35214,0.7777777777777778,0.010033444816053512,0.055570455398809206,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15425317628681837,18,37265,5,13,48,37217,0.2777777777777778,0.09433962264150944,0.0012880719173487187,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.019652020512148736,18,37265,13,5,346,36919,0.7222222222222222,0.036211699164345405,0.009284851737555347,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037902419292368135,18,37265,15,3,533,36732,0.8333333333333334,0.02737226277372263,0.014302965248893063,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002093664181302297,18,37265,16,2,2269,34996,0.8888888888888888,0.00700218818380744,0.06088823292633839,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15425317628681837,29,37220,8,21,54,37166,0.27586206896551724,0.12903225806451613,0.0014508328855454057,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.019652020512148736,29,37220,19,10,310,36910,0.6551724137931034,0.057750759878419454,0.008328855454056958,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037902419292368135,29,37220,24,5,494,36726,0.8275862068965517,0.04633204633204633,0.013272434175174637,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002093664181302297,29,37220,25,4,2282,34938,0.8620689655172413,0.010836584308625921,0.06131112305212252,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.15425317628681837,24,37193,8,16,79,37114,0.3333333333333333,0.09195402298850575,0.002124055601860565,0.8541941135876823,0.15288391335094653
