experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14985530361532956,29,37316,6,23,38,37278,0.20689655172413793,0.13636363636363635,0.0010183299389002036,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.023213900532574307,29,37316,17,12,187,37129,0.5862068965517241,0.08333333333333333,0.005011255225640476,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.004213070473633682,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00021993230257066898,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9334361520065351,0.11889708748568859
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.17510539039968226,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.029230411257594624,27,37286,18,9,187,37099,0.6666666666666666,0.08780487804878048,0.005015287239178244,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.004461064143106353,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00023936818251968361,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8515965678707726,0.15209229044646924
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.18091960644720725,18,37265,5,13,38,37227,0.2777777777777778,0.11627906976744186,0.0010197236012344023,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.053617950081825363,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.015002502202987678,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00028458915185183175,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9353742713597806,0.11092378471902029
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.22882402126491902,29,37220,6,23,38,37182,0.20689655172413793,0.13636363636363635,0.0010209564750134337,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.04054124495014544,29,37220,13,16,187,37033,0.4482758620689655,0.065,0.0050241805480924235,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.009156316500156752,29,37220,19,10,373,36847,0.6551724137931034,0.04846938775510204,0.0100214938205266,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00027660222258418755,29,37220,24,5,1861,35359,0.8275862068965517,0.01273209549071618,0.05,0.9540708554911153,0.07391274954100517
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2529571657180654,24,37193,7,17,38,37155,0.2916666666666667,0.15555555555555556,0.0010216976312747022,0.8541941135876823,0.15288391335094653
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.050120377391577646,24,37193,12,12,186,37007,0.5,0.06060606060606061,0.005000941037291964,0.8541941135876823,0.15288391335094653
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0144241356849672,24,37193,13,11,372,36821,0.5416666666666666,0.033766233766233764,0.010001882074583928,0.8541941135876823,0.15288391335094653
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003318033355753891,24,37193,19,5,1860,35333,0.7916666666666666,0.010111761575306013,0.05000941037291964,0.8541941135876823,0.15288391335094653
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.32429341685771707,35,37164,10,25,38,37126,0.2857142857142857,0.20833333333333334,0.0010224948875255625,0.8885319126035948,0.19197520973081555
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.06272358754649161,35,37164,21,14,186,36978,0.6,0.10144927536231885,0.005004843396835648,0.8885319126035948,0.19197520973081555
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.02088488336652523,35,37164,26,9,372,36792,0.7428571428571429,0.06532663316582915,0.010009686793671296,0.8885319126035948,0.19197520973081555
tos_ablate_top5,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00037561020144494196,35,37164,29,6,1859,35305,0.8285714285714286,0.015360169491525424,0.05002152620815843,0.8885319126035948,0.19197520973081555
