experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.11136180141768323,29,37316,10,19,38,37278,0.3448275862068966,0.20833333333333334,0.0010183299389002036,0.9386881286015798,0.2028437773121846
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.01618453722553915,29,37316,18,11,187,37129,0.6206896551724138,0.08780487804878048,0.005011255225640476,0.9386881286015798,0.2028437773121846
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005080177886476675,29,37316,21,8,374,36942,0.7241379310344828,0.053164556962025315,0.010022510451280952,0.9386881286015798,0.2028437773121846
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.000280159342514026,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.9386881286015798,0.2028437773121846
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.126080402657938,27,37286,8,19,38,37248,0.2962962962962963,0.17391304347826086,0.0010191492785495897,0.8863285991564702,0.1632018569458005
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.018157899912078647,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8863285991564702,0.1632018569458005
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0053672132793229944,27,37286,18,9,373,36913,0.6666666666666666,0.04603580562659847,0.01000375476049992,0.8863285991564702,0.1632018569458005
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00030697555497640144,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8863285991564702,0.1632018569458005
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.13348341813344713,18,37265,9,9,38,37227,0.5,0.19148936170212766,0.0010197236012344023,0.9140115091611134,0.11964041475986874
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.023438426730622876,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9140115091611134,0.11964041475986874
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.006949201394828861,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9140115091611134,0.11964041475986874
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00032675089822120873,18,37265,15,3,1864,35401,0.8333333333333334,0.007982969664715274,0.050020126123708576,0.9140115091611134,0.11964041475986874
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1439445156010901,29,37220,10,19,38,37182,0.3448275862068966,0.20833333333333334,0.0010209564750134337,0.9442281680223832,0.16664183100612182
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.02734036271802775,29,37220,16,13,187,37033,0.5517241379310345,0.07881773399014778,0.0050241805480924235,0.9442281680223832,0.16664183100612182
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007670668107712189,29,37220,19,10,373,36847,0.6551724137931034,0.04846938775510204,0.0100214938205266,0.9442281680223832,0.16664183100612182
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003515469025307121,29,37220,24,5,1861,35359,0.8275862068965517,0.01273209549071618,0.05,0.9442281680223832,0.16664183100612182
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.17224985610644994,24,37193,7,17,38,37155,0.2916666666666667,0.15555555555555556,0.0010216976312747022,0.8774915082587225,0.12363590310630904
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.033971362311489575,24,37193,12,12,186,37007,0.5,0.06060606060606061,0.005000941037291964,0.8774915082587225,0.12363590310630904
tos_pool_lightgbm,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_pool,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.009211427846940656,24,37193,15,9,372,36821,0.625,0.03875968992248062,0.010001882074583928,0.8774915082587225,0.12363590310630904
