experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.09663663610071084,29,37316,7,22,44,37272,0.2413793103448276,0.13725490196078433,0.0011791188766212884,0.9253038356478316,0.123944717210833
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.020342542678117664,29,37316,19,10,204,37112,0.6551724137931034,0.08520179372197309,0.0054668238825168825,0.9253038356478316,0.123944717210833
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00705059675965463,29,37316,22,7,414,36902,0.7586206896551724,0.05045871559633028,0.01109443670275485,0.9253038356478316,0.123944717210833
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0006373717187670964,29,37316,23,6,1616,35700,0.7931034482758621,0.014032946918852958,0.0433058205595455,0.9253038356478316,0.123944717210833
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.09663663610071084,27,37286,10,17,55,37231,0.37037037037037035,0.15384615384615385,0.0014750844821112483,0.8257652062833633,0.1284367488059623
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.020342542678117664,27,37286,19,8,226,37060,0.7037037037037037,0.07755102040816327,0.006061256235584402,0.8257652062833633,0.1284367488059623
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00705059675965463,27,37286,20,7,452,36834,0.7407407407407407,0.0423728813559322,0.012122512471168804,0.8257652062833633,0.1284367488059623
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0006373717187670964,27,37286,21,6,1823,35463,0.7777777777777778,0.0113882863340564,0.04889234565252373,0.8257652062833633,0.1284367488059623
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.09663663610071084,18,37265,7,11,60,37205,0.3888888888888889,0.1044776119402985,0.0016100898966858984,0.8972539022317634,0.08900831569923534
tos_pool_mlp,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_pool,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.020342542678117664,18,37265,13,5,251,37014,0.7222222222222222,0.04924242424242424,0.006735542734469341,0.8972539022317634,0.08900831569923534
