experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10126369850337864,29,37316,8,21,42,37274,0.27586206896551724,0.16,0.0011255225640475935,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01844217178411769,29,37316,19,10,188,37128,0.6551724137931034,0.09178743961352658,0.005038053381927324,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.005438903532922331,29,37316,21,8,376,36940,0.7241379310344828,0.05289672544080604,0.010076106763854648,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0003502865059999745,29,37316,24,5,1718,35598,0.8275862068965517,0.013777267508610792,0.046039232500803946,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10126369850337864,27,37286,10,17,35,37251,0.37037037037037035,0.2222222222222222,0.0009386901249798852,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01844217178411769,27,37286,18,9,214,37072,0.6666666666666666,0.07758620689655173,0.005739419621305584,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.005438903532922331,27,37286,20,7,429,36857,0.7407407407407407,0.044543429844097995,0.011505658960467735,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0003502865059999745,27,37286,21,6,2001,35285,0.7777777777777778,0.010385756676557863,0.05366625543099287,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10126369850337864,18,37265,6,12,48,37217,0.3333333333333333,0.1111111111111111,0.0012880719173487187,0.9441984584880063,0.16354055549084012
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01844217178411769,18,37265,14,4,242,37023,0.7777777777777778,0.0546875,0.0064940292499664565,0.9441984584880063,0.16354055549084012
