experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.15135777913033674,29,37316,7,22,38,37278,0.2413793103448276,0.15555555555555556,0.0010183299389002036,0.9268257861100535,0.17223035610841408
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.028969561867416414,29,37316,20,9,187,37129,0.6896551724137931,0.0966183574879227,0.005011255225640476,0.9268257861100535,0.17223035610841408
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007469014148227808,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.9268257861100535,0.17223035610841408
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003703319525811821,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9268257861100535,0.17223035610841408
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.16834395788608641,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.9000766845266122,0.14529023218219123
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03293804973363755,27,37286,18,9,187,37099,0.6666666666666666,0.08780487804878048,0.005015287239178244,0.9000766845266122,0.14529023218219123
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.009477734798565748,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.9000766845266122,0.14529023218219123
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0004188791281194426,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.9000766845266122,0.14529023218219123
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.23942959630487728,18,37265,3,15,38,37227,0.16666666666666666,0.07317073170731707,0.0010197236012344023,0.9262757726195268,0.088126420880399
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.06807995647192003,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9262757726195268,0.088126420880399
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.020307636037468914,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9262757726195268,0.088126420880399
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00044686487526632805,18,37265,15,3,1864,35401,0.8333333333333334,0.007982969664715274,0.050020126123708576,0.9262757726195268,0.088126420880399
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.24045880480111437,29,37220,5,24,38,37182,0.1724137931034483,0.11627906976744186,0.0010209564750134337,0.9106709407252311,0.08507379433676819
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.046013330444693495,29,37220,18,11,187,37033,0.6206896551724138,0.08780487804878048,0.0050241805480924235,0.9106709407252311,0.08507379433676819
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.011050058221443712,29,37220,21,8,373,36847,0.7241379310344828,0.0532994923857868,0.0100214938205266,0.9106709407252311,0.08507379433676819
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00042737519834190444,29,37220,25,4,1861,35359,0.8620689655172413,0.013255567338282079,0.05,0.9106709407252311,0.08507379433676819
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.273521816015231,24,37193,7,17,38,37155,0.2916666666666667,0.15555555555555556,0.0010216976312747022,0.9057562354923416,0.2065657912993806
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.05800884395837823,24,37193,12,12,186,37007,0.5,0.06060606060606061,0.005000941037291964,0.9057562354923416,0.2065657912993806
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.013207972794771438,24,37193,16,8,372,36821,0.6666666666666666,0.041237113402061855,0.010001882074583928,0.9057562354923416,0.2065657912993806
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0004634098673705016,24,37193,19,5,1860,35333,0.7916666666666666,0.010111761575306013,0.05000941037291964,0.9057562354923416,0.2065657912993806
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.3655050601065089,35,37164,12,23,38,37126,0.34285714285714286,0.24,0.0010224948875255625,0.9017613051032489,0.1757223616503695
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.07991737462580081,35,37164,21,14,186,36978,0.6,0.10144927536231885,0.005004843396835648,0.9017613051032489,0.1757223616503695
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.021744314767420572,35,37164,25,10,372,36792,0.7142857142857143,0.06297229219143577,0.010009686793671296,0.9017613051032489,0.1757223616503695
