experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.11186156805604422,29,37316,8,21,38,37278,0.27586206896551724,0.17391304347826086,0.0010183299389002036,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.019191212998704826,29,37316,19,10,187,37129,0.6551724137931034,0.09223300970873786,0.005011255225640476,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0057113262824713155,29,37316,21,8,374,36942,0.7241379310344828,0.053164556962025315,0.010022510451280952,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003150754564558156,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.9398760261845709,0.19269497926372844
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.09467618409543757,27,37286,11,16,38,37248,0.4074074074074074,0.22448979591836735,0.0010191492785495897,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.025763506349175635,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007344315457157853,27,37286,19,8,373,36913,0.7037037037037037,0.04846938775510204,0.01000375476049992,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003780831684707664,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8634215801383103,0.14947161253834268
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.12260501843687292,18,37265,6,12,38,37227,0.3333333333333333,0.13636363636363635,0.0010197236012344023,0.9441984584880063,0.16354055549084012
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.031296717077493735,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9441984584880063,0.16354055549084012
