experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.1783676201318988,32,37345,15,17,41,37304,0.46875,0.26785714285714285,0.0010978712009639844,0.8663433859954479,0.15145493651640246
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.04453926404995053,32,37345,20,12,205,37140,0.625,0.08888888888888889,0.005489356004819922,0.8663433859954479,0.15145493651640246
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02217920971296193,32,37345,21,11,468,36877,0.65625,0.04294478527607362,0.012531798098808408,0.8663433859954479,0.15145493651640246
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.003465474468850313,32,37345,25,7,1849,35496,0.78125,0.013340448239060833,0.0495113134288392,0.8663433859954479,0.15145493651640246
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.1783676201318988,29,37316,8,21,47,37269,0.27586206896551724,0.14545454545454545,0.001259513345481831,0.9016101071556621,0.2058546872186852
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.04453926404995053,29,37316,20,9,237,37079,0.6896551724137931,0.07782101167315175,0.0063511630399828494,0.9016101071556621,0.2058546872186852
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.02217920971296193,29,37316,21,8,484,36832,0.7241379310344828,0.041584158415841586,0.012970307642834173,0.9016101071556621,0.2058546872186852
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.003465474468850313,29,37316,22,7,1483,35833,0.7586206896551724,0.014617940199335547,0.03974166577339479,0.9016101071556621,0.2058546872186852
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.1783676201318988,27,37286,12,15,67,37219,0.4444444444444444,0.1518987341772152,0.001796921096390066,0.9092376048203974,0.1756657956315981
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.04453926404995053,27,37286,19,8,288,36998,0.7037037037037037,0.06188925081433225,0.007724078742691627,0.9092376048203974,0.1756657956315981
