experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.31693197713312654,0.05860036442379673,0.1827795317130838,0.05134072181783636,0.001020391968749649,1.5930254547893772e-06,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,8.666666666666666,3.204163957519444
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.6032711488171258,0.07949794478677717,0.07946382885363945,0.01665498089530112,0.005012436826396079,8.596209911323712e-06,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,16.166666666666668,3.7103458958251676
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.667553062093292,0.06563143264513992,0.04596298924023816,0.010228039004986547,0.01001145334860445,8.732894456429791e-06,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,18.0,4.1952353926806065
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.8004789272030651,0.05170479984750537,0.011407802735291992,0.0022526178781286086,0.05001699904913841,1.1043247186150144e-05,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,21.5,4.277849927241488
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.32310633704311864,0.08359657308131316,0.1834120541035055,0.047265575451487074,0.001020391968749649,1.5930254547893772e-06,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,8.666666666666666,2.7325202042558927
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.6183299884449309,0.08234781741338972,0.08164128671067275,0.019151486324999106,0.005012436826396079,8.596209911323712e-06,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,16.666666666666668,4.273952113286562
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6922968740497476,0.08392715895653877,0.04757312775180707,0.010961191464738769,0.01001145334860445,8.732894456429791e-06,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,18.666666666666668,4.501851470969102
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.8154054916985951,0.0311896231478238,0.011670064886458973,0.002444568627836491,0.05001253268975727,8.896797669911993e-06,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,22.0,4.6475800154489
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.26715243568691843,0.04790454443920171,0.15945797714250698,0.04725907318544986,0.001020391968749649,1.5930254547893772e-06,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,7.333333333333333,2.6583202716502514
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.5043225080581403,0.07491031546129408,0.06793517849063228,0.018021251262395833,0.005012436826396079,8.596209911323712e-06,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,13.666666666666666,3.8815804341359033
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.5719029374201788,0.08696277105050929,0.03981143751954613,0.010903772338779393,0.01001145334860445,8.732894456429791e-06,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,15.5,4.415880433163924
