experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_select_pauc,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.40020905552514746,0.07779790797370432,0.14045243281088857,0.03475626247797823,0.0018221098123738712,0.0005090860735991076,0.896950607714668,0.025729741322067495,0.11752731491718496,0.02332528488237278,11.0,4.242640687119285
tos_select_pauc,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.636209177157453,0.07840754038240542,0.06056661309996731,0.015171368192079943,0.0072698096228675565,0.0013702930735110834,0.896950607714668,0.025729741322067495,0.11752731491718496,0.02332528488237278,17.166666666666668,4.445971959725642
tos_select_pauc,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.01,42,6,162,223444,0.7260065073283464,0.07264067322010272,0.0411398339912267,0.010567601066540996,0.012407561758028922,0.0013843025476535673,0.896950607714668,0.025729741322067495,0.11752731491718496,0.02332528488237278,19.666666666666668,5.00666222813829
tos_select_pauc,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,val_quantile,0.05,42,6,162,223444,0.7924169859514687,0.024856306459268306,0.012486303404668504,0.002743330134289057,0.04547571279427923,0.0023671994002821134,0.896950607714668,0.025729741322067495,0.11752731491718496,0.02332528488237278,21.333333333333332,4.320493798938574
tos_select_pauc,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.3424983275557988,0.1104038792725439,0.14835520841375643,0.04730585531881526,0.0014685188840838476,0.0004884402783789541,0.9023313726440699,0.044476280410617415,0.16016737227003028,0.06303308073254009,9.666666666666666,5.00666222813829
tos_select_pauc,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6491668187070486,0.1056572304194335,0.0660087997103804,0.016494191628119246,0.006754989370953347,0.0012934742049622414,0.9023313726440699,0.044476280410617415,0.16016737227003028,0.06303308073254009,17.5,4.764451699828638
tos_select_pauc,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7427697196375358,0.07263934708137715,0.04082823662766429,0.009664000756971906,0.012702394530591254,0.001136250209475634,0.9023313726440699,0.044476280410617415,0.16016737227003028,0.06303308073254009,20.0,4.47213595499958
tos_select_pauc,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8341885604816639,0.04319773507895519,0.009727967459177233,0.002358985450299825,0.06228448332381603,0.00807448506388884,0.9023313726440699,0.044476280410617415,0.16016737227003028,0.06303308073254009,22.5,4.929503017546495
tos_select_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.3660721887733382,0.11132931079635673,0.14342293340555506,0.044202769270322295,0.0016477203896891781,0.0006076171203192836,0.9110333158849625,0.02818650375846594,0.13574764114072108,0.04259340562980691,10.166666666666666,4.833908011812665
tos_select_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6596233959739707,0.06971239921918473,0.06845976380382254,0.01756468876840252,0.006634070977962912,0.001218143458229163,0.9110333158849625,0.02818650375846594,0.13574764114072108,0.04259340562980691,17.833333333333332,4.4907311951024935
tos_select_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7477437207322265,0.06204007424906295,0.039751403925678816,0.009207344659905085,0.013186101743963405,0.001495296088485311,0.9110333158849625,0.02818650375846594,0.13574764114072108,0.04259340562980691,20.166666666666668,4.708148963941845
tos_select_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8399356869184456,0.04442019972526207,0.01110397073203355,0.0024840722394461694,0.05434383899773894,0.0031053694731008703,0.9110333158849625,0.02818650375846594,0.13574764114072108,0.04259340562980691,22.666666666666668,5.00666222813829
tos_select_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.34742139512254455,0.09486316341794782,0.11984452463632501,0.021279167158895256,0.001853513145144237,0.0005785669154677838,0.9158029757164492,0.015548364406779583,0.13449450507697105,0.03331750671523714,9.5,4.230839160261236
tos_select_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6536641732044031,0.08273659335474401,0.060088998013710024,0.02125962714659612,0.00781574411892378,0.0018617899646835826,0.9158029757164492,0.015548364406779583,0.13449450507697105,0.03331750671523714,17.666666666666668,4.501851470969102
tos_select_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7525869670984614,0.03328432987674002,0.03887051435814939,0.009772977060087375,0.013804366946318926,0.002378115065408491,0.9158029757164492,0.015548364406779583,0.13449450507697105,0.03331750671523714,20.333333333333332,4.546060565661952
tos_select_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8246647509578544,0.04342340803134059,0.012252476750341834,0.0027065942711087866,0.048319740991032825,0.0034361970783723084,0.9158029757164492,0.015548364406779583,0.13449450507697105,0.03331750671523714,22.166666666666668,4.355073669487885
