experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.22359097561339417,29,37316,8,21,38,37278,0.27586206896551724,0.17391304347826086,0.0010183299389002036,0.8862441367482192,0.19562017450945748
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.0747925830126728,29,37316,16,13,187,37129,0.5517241379310345,0.07881773399014778,0.005011255225640476,0.8862441367482192,0.19562017450945748
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.03590676617246615,29,37316,21,8,374,36942,0.7241379310344828,0.053164556962025315,0.010022510451280952,0.8862441367482192,0.19562017450945748
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.002858762476611447,29,37316,22,7,1867,35449,0.7586206896551724,0.011646373742721016,0.05003215778754422,0.8862441367482192,0.19562017450945748
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.23966937067404842,27,37286,8,19,38,37248,0.2962962962962963,0.17391304347826086,0.0010191492785495897,0.8582061383380912,0.1607082631246644
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.10156356597188106,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8582061383380912,0.1607082631246644
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.04094151154420659,27,37286,19,8,373,36913,0.7037037037037037,0.04846938775510204,0.01000375476049992,0.8582061383380912,0.1607082631246644
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.003949768716870935,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8582061383380912,0.1607082631246644
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.25670428226016817,18,37265,6,12,38,37227,0.3333333333333333,0.13636363636363635,0.0010197236012344023,0.9160681008393339,0.09742946932838747
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.10995338605593286,18,37265,13,5,187,37078,0.7222222222222222,0.065,0.005018113511337716,0.9160681008393339,0.09742946932838747
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.06382433693633807,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9160681008393339,0.09742946932838747
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.004225020005376588,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9160681008393339,0.09742946932838747
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2714352181045056,29,37220,8,21,38,37182,0.27586206896551724,0.17391304347826086,0.0010209564750134337,0.8870777668661639,0.11350685023690552
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.12032410344099853,29,37220,15,14,187,37033,0.5172413793103449,0.07425742574257425,0.0050241805480924235,0.8870777668661639,0.11350685023690552
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.07275188950776092,29,37220,17,12,373,36847,0.5862068965517241,0.04358974358974359,0.0100214938205266,0.8870777668661639,0.11350685023690552
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0050185971647491705,29,37220,24,5,1861,35359,0.8275862068965517,0.01273209549071618,0.05,0.8870777668661639,0.11350685023690552
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.29946584826836947,24,37193,7,17,38,37155,0.2916666666666667,0.15555555555555556,0.0010216976312747022,0.8375708018533954,0.19945489463663166
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.1359504385507583,24,37193,13,11,186,37007,0.5416666666666666,0.06532663316582915,0.005000941037291964,0.8375708018533954,0.19945489463663166
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.08605105471542442,24,37193,14,10,372,36821,0.5833333333333334,0.03626943005181347,0.010001882074583928,0.8375708018533954,0.19945489463663166
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0071295253140384466,24,37193,18,6,1860,35333,0.75,0.009584664536741214,0.05000941037291964,0.8375708018533954,0.19945489463663166
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.3023898470374083,35,37164,15,20,38,37126,0.42857142857142855,0.2830188679245283,0.0010224948875255625,0.890970524470686,0.26349037945272324
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.15748452326077925,35,37164,23,12,186,36978,0.6571428571428571,0.11004784688995216,0.005004843396835648,0.890970524470686,0.26349037945272324
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.09115768972842637,35,37164,24,11,372,36792,0.6857142857142857,0.06060606060606061,0.010009686793671296,0.890970524470686,0.26349037945272324
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.008674310195186056,35,37164,28,7,1859,35305,0.8,0.01483836777954425,0.05002152620815843,0.890970524470686,0.26349037945272324
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.11954481985419585,29,37316,10,19,38,37278,0.3448275862068966,0.20833333333333334,0.0010183299389002036,0.9309494679179866,0.1915085248355396
