experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.41941783737760746,0.09885239061108811,0.11099089646063992,0.026411951328170005,0.0025117548629634712,0.0008314207109782315,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,11.5,4.806245936279167
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.6782741896247644,0.05183986407879441,0.04376955280736691,0.01584164016113803,0.011586749900059985,0.003516630947786685,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,18.333333333333332,4.457203906785808
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,val_quantile,0.01,42,6,162,223444,0.7220162075047133,0.054102826994495756,0.030196040846646368,0.010032294048324364,0.01768753727036731,0.004216926008955742,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,19.5,4.505552130427524
tos_select,TOSHIBA_20MG07ACA14TA,randomforest,tabular,in_horizon,val_quantile,0.05,42,6,162,223444,0.8121852764094143,0.046611571679062026,0.008874501235242319,0.0019820370737481476,0.06698766891684971,0.014127151215720177,0.8793562448526483,0.027506606734471303,0.17170167188146163,0.061304739381693334,21.833333333333332,4.445971959725642
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.4421927263881287,0.0951975355820024,0.12954712812960237,0.03402843202328963,0.002243134337364652,0.0007501103770327105,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,12.166666666666666,4.996665554814197
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.6300363376512802,0.07697495701479268,0.06331962730832383,0.015319879886111904,0.006862522639015331,0.0013511457419460309,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,17.0,4.427188724235731
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,val_quantile,0.01,42,6,162,223444,0.7341482697804537,0.040226846893213736,0.04143703895170483,0.009811729900928995,0.012488749815912971,0.001911751264123923,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,19.833333333333332,4.535048695071164
tos_select,TOSHIBA_20MG07ACA14TA,xgboost,tabular,in_horizon,val_quantile,0.05,42,6,162,223444,0.8086731435869368,0.02386600077602853,0.010985079324048455,0.0027365819938832804,0.05368700443370306,0.007911215719199553,0.9077852817802081,0.01810560960096852,0.13838690653701333,0.0590395976867337,21.833333333333332,4.750438576243952
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.3733640454904823,0.07970620651312621,0.10414367429104952,0.024542073633708108,0.0023728467043361316,0.0006895373428706495,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,10.166666666666666,3.7103458958251676
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.5392294593444019,0.07702919496363,0.049488054350539476,0.0137115580981225,0.007641314519844927,0.0014074817669119323,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,14.666666666666666,4.366539438350084
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,val_quantile,0.01,42,6,162,223444,0.6189419509821809,0.08436791496729888,0.03273421262792995,0.007838187812991119,0.013388919180221857,0.0023477032412765587,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,16.833333333333332,4.915960401250875
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,val_quantile,0.05,42,6,162,223444,0.7169608648056924,0.09325126210784684,0.009346020014581501,0.00218782702166333,0.05514449227592654,0.006124975577103407,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,19.333333333333332,4.88535225614967
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,val_quantile,0.001,42,6,162,223444,0.3775664416469014,0.10405080852219992,0.12064297582544795,0.02388769691495538,0.0019742919724063538,0.0005031674712546573,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,10.333333333333334,4.546060565661952
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,val_quantile,0.005,42,6,162,223444,0.6333363741409719,0.0935737361526099,0.06153533370993951,0.015907490744204434,0.007153578806482555,0.0014777896209442123,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,17.0,4.09878030638384
