experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.07374530918895866,29,37316,8,21,38,37278,0.27586206896551724,0.17391304347826086,0.0010183299389002036,0.9337179946847243,0.17593669179714233
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.02399084614589886,29,37316,18,11,187,37129,0.6206896551724138,0.08780487804878048,0.005011255225640476,0.9337179946847243,0.17593669179714233
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005564352241344744,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.9337179946847243,0.17593669179714233
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0002923065912909806,29,37316,24,5,1869,35447,0.8275862068965517,0.012678288431061807,0.05008575410011791,0.9337179946847243,0.17593669179714233
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.10057866074144627,27,37286,12,15,38,37248,0.4444444444444444,0.24,0.0010191492785495897,0.8864075683257145,0.19719435562843338
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.02598381307907384,27,37286,18,9,187,37099,0.6666666666666666,0.08780487804878048,0.005015287239178244,0.8864075683257145,0.19719435562843338
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007013555895537185,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8864075683257145,0.19719435562843338
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003288432999397628,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8864075683257145,0.19719435562843338
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.10697265392540424,18,37265,5,13,38,37227,0.2777777777777778,0.11627906976744186,0.0010197236012344023,0.9264822517405369,0.11288007085174744
tos_tuned_xgboost,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.030253675431013136,18,37265,11,7,187,37078,0.6111111111111112,0.05555555555555555,0.005018113511337716,0.9264822517405369,0.11288007085174744
