experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.36271228700876307,32,37345,9,23,34,37311,0.28125,0.20930232558139536,0.0009104297764091578,0.8989883183826483,0.1595890280285072
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.058829799517986794,32,37345,23,9,171,37174,0.71875,0.11855670103092783,0.004578926228410765,0.8989883183826483,0.1595890280285072
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.020046462453901803,32,37345,24,8,329,37016,0.75,0.0679886685552408,0.00880974695407685,0.8989883183826483,0.1595890280285072
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0011153045110404492,32,37345,26,6,2186,35159,0.8125,0.011754068716094032,0.058535279153835856,0.8989883183826483,0.1595890280285072
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.36271228700876307,29,37316,11,18,29,37287,0.3793103448275862,0.275,0.0007771465323185765,0.906662945727265,0.18714348390164187
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.058829799517986794,29,37316,18,11,149,37167,0.6206896551724138,0.10778443113772455,0.003992925286740273,0.906662945727265,0.18714348390164187
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.020046462453901803,29,37316,21,8,312,37004,0.7241379310344828,0.06306306306306306,0.00836102476149641,0.906662945727265,0.18714348390164187
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0011153045110404492,29,37316,23,6,1304,36012,0.7931034482758621,0.01733232856066315,0.03494479579804909,0.906662945727265,0.18714348390164187
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.36271228700876307,27,37286,10,17,36,37250,0.37037037037037035,0.21739130434782608,0.0009655098428364533,0.9224075762722976,0.19931005286468614
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.058829799517986794,27,37286,17,10,161,37125,0.6296296296296297,0.09550561797752809,0.004317974574907472,0.9224075762722976,0.19931005286468614
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.020046462453901803,27,37286,21,6,312,36974,0.7777777777777778,0.06306306306306306,0.008367751971249263,0.9224075762722976,0.19931005286468614
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,tabular,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.0011153045110404492,27,37286,21,6,1327,35959,0.7777777777777778,0.015578635014836795,0.035589765595665936,0.9224075762722976,0.19931005286468614
