experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.16228168885410002,29,37316,6,23,26,37290,0.20689655172413793,0.1875,0.0006967520634580341,0.9038163346775534,0.17188531123154474
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.013478376124985146,29,37316,20,9,190,37126,0.6896551724137931,0.09523809523809523,0.0050916496945010185,0.9038163346775534,0.17188531123154474
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0025941589171998266,29,37316,24,5,391,36925,0.8275862068965517,0.05783132530120482,0.01047807910815736,0.9038163346775534,0.17188531123154474
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.000163152850291225,29,37316,25,4,1698,35618,0.8620689655172413,0.014509576320371444,0.045503269375067,0.9038163346775534,0.17188531123154474
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.16228168885410002,27,37286,13,14,39,37247,0.48148148148148145,0.25,0.0010459689964061579,0.897571524214232,0.17908698797978156
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.013478376124985146,27,37286,19,8,222,37064,0.7037037037037037,0.07883817427385892,0.005953977364158129,0.897571524214232,0.17908698797978156
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0025941589171998266,27,37286,21,6,425,36861,0.7777777777777778,0.04708520179372197,0.011398380089041463,0.897571524214232,0.17908698797978156
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.000163152850291225,27,37286,21,6,1833,35453,0.7777777777777778,0.011326860841423949,0.049160542831089414,0.897571524214232,0.17908698797978156
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.16228168885410002,18,37265,6,12,45,37220,0.3333333333333333,0.11764705882352941,0.0012075674225144237,0.9143611073840511,0.07825141659545469
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.013478376124985146,18,37265,12,6,354,36911,0.6666666666666666,0.03278688524590164,0.0094995303904468,0.9143611073840511,0.07825141659545469
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0025941589171998266,18,37265,14,4,578,36687,0.7777777777777778,0.02364864864864865,0.015510532671407487,0.9143611073840511,0.07825141659545469
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.000163152850291225,18,37265,16,2,1990,35275,0.8888888888888888,0.007976071784646061,0.05340131490674896,0.9143611073840511,0.07825141659545469
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.16228168885410002,29,37220,5,24,55,37165,0.1724137931034483,0.08333333333333333,0.001477700161203654,0.8982980970557173,0.07625462996435327
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.013478376124985146,29,37220,23,6,270,36950,0.7931034482758621,0.07849829351535836,0.007254164427727029,0.8982980970557173,0.07625462996435327
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0025941589171998266,29,37220,24,5,484,36736,0.8275862068965517,0.047244094488188976,0.013003761418592155,0.8982980970557173,0.07625462996435327
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.000163152850291225,29,37220,25,4,1782,35438,0.8620689655172413,0.01383508577753182,0.04787748522299839,0.8982980970557173,0.07625462996435327
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.16228168885410002,24,37193,8,16,86,37107,0.3333333333333333,0.0851063829787234,0.0023122630602532735,0.8875768513788438,0.13033367653029282
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.013478376124985146,24,37193,15,9,299,36894,0.625,0.04777070063694268,0.008039147151345682,0.8875768513788438,0.13033367653029282
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0025941589171998266,24,37193,17,7,526,36667,0.7083333333333334,0.03130755064456722,0.01414244615922351,0.8875768513788438,0.13033367653029282
tosfeat_cid7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.000163152850291225,24,37193,19,5,2301,34892,0.7916666666666666,0.008189655172413794,0.06186648025166026,0.8875768513788438,0.13033367653029282
