experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.2454286787807975,29,37316,7,22,33,37283,0.2413793103448276,0.175,0.0008843391574659663,0.917002875719392,0.16995903583213093
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.03960300434380511,29,37316,18,11,192,37124,0.6206896551724138,0.08571428571428572,0.005145246007074713,0.917002875719392,0.16995903583213093
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011124150408431942,29,37316,24,5,377,36939,0.8275862068965517,0.059850374064837904,0.010102904920141494,0.917002875719392,0.16995903583213093
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0004415365212480532,29,37316,25,4,1675,35641,0.8620689655172413,0.014705882352941176,0.0448869117804695,0.917002875719392,0.16995903583213093
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.2454286787807975,27,37286,9,18,46,37240,0.3333333333333333,0.16363636363636364,0.0012337070214021347,0.9002823023635125,0.1389469226026155
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.03960300434380511,27,37286,17,10,243,37043,0.6296296296296297,0.06538461538461539,0.00651719143914606,0.9002823023635125,0.1389469226026155
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011124150408431942,27,37286,20,7,467,36819,0.7407407407407407,0.04106776180698152,0.012524808239017325,0.9002823023635125,0.1389469226026155
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0004415365212480532,27,37286,21,6,1984,35302,0.7777777777777778,0.010473815461346634,0.053210320227431204,0.9002823023635125,0.1389469226026155
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.2454286787807975,18,37265,5,13,58,37207,0.2777777777777778,0.07936507936507936,0.0015564202334630351,0.9162753253723332,0.0678856430903723
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.03960300434380511,18,37265,12,6,298,36967,0.6666666666666666,0.03870967741935484,0.007996779820206629,0.9162753253723332,0.0678856430903723
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011124150408431942,18,37265,13,5,541,36724,0.7222222222222222,0.023465703971119134,0.014517643901784517,0.9162753253723332,0.0678856430903723
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0004415365212480532,18,37265,16,2,1886,35379,0.8888888888888888,0.008412197686645636,0.05061049241916007,0.9162753253723332,0.0678856430903723
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.2454286787807975,29,37220,6,23,49,37171,0.20689655172413793,0.10909090909090909,0.0013164965072541644,0.9331449535844651,0.07758279836095425
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.03960300434380511,29,37220,17,12,227,36993,0.5862068965517241,0.06967213114754098,0.006098871574422354,0.9331449535844651,0.07758279836095425
tosfeat_d1,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011124150408431942,29,37220,23,6,428,36792,0.7931034482758621,0.050997782705099776,0.011499193981730252,0.9331449535844651,0.07758279836095425
