experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.20397815631330488,29,37316,4,25,39,37277,0.13793103448275862,0.09302325581395349,0.0010451280951870512,0.9071388440199452,0.13162256990297322
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01704923079348915,29,37316,20,9,192,37124,0.6896551724137931,0.09433962264150944,0.005145246007074713,0.9071388440199452,0.13162256990297322
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033996356045827405,29,37316,23,6,432,36884,0.7931034482758621,0.05054945054945055,0.011576803515918105,0.9071388440199452,0.13162256990297322
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00012137401354266327,29,37316,24,5,1767,35549,0.8275862068965517,0.01340033500837521,0.04735234215885947,0.9071388440199452,0.13162256990297322
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.20397815631330488,27,37286,11,16,35,37251,0.4074074074074074,0.2391304347826087,0.0009386901249798852,0.8957582132902628,0.1558832130398042
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01704923079348915,27,37286,20,7,221,37065,0.7407407407407407,0.08298755186721991,0.005927157646301561,0.8957582132902628,0.1558832130398042
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033996356045827405,27,37286,20,7,425,36861,0.7407407407407407,0.0449438202247191,0.011398380089041463,0.8957582132902628,0.1558832130398042
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00012137401354266327,27,37286,23,4,1967,35319,0.8518518518518519,0.011557788944723618,0.052754385023869546,0.8957582132902628,0.1558832130398042
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.20397815631330488,18,37265,7,11,134,37131,0.3888888888888889,0.04964539007092199,0.0035958674359318397,0.923341085618021,0.062250206715590395
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01704923079348915,18,37265,14,4,387,36878,0.7777777777777778,0.034912718204488775,0.010385079833624043,0.923341085618021,0.062250206715590395
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033996356045827405,18,37265,14,4,608,36657,0.7777777777777778,0.022508038585209004,0.016315577619750436,0.923341085618021,0.062250206715590395
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00012137401354266327,18,37265,16,2,1957,35308,0.8888888888888888,0.008109477952356817,0.052515765463571715,0.923341085618021,0.062250206715590395
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.20397815631330488,29,37220,9,20,72,37148,0.3103448275862069,0.1111111111111111,0.0019344438473938744,0.9137634567992735,0.07112950221519151
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01704923079348915,29,37220,19,10,233,36987,0.6551724137931034,0.07539682539682539,0.0062600752283718435,0.9137634567992735,0.07112950221519151
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033996356045827405,29,37220,23,6,438,36782,0.7931034482758621,0.049891540130151846,0.011767866738312736,0.9137634567992735,0.07112950221519151
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00012137401354266327,29,37220,24,5,1766,35454,0.8275862068965517,0.013407821229050279,0.047447608812466416,0.9137634567992735,0.07112950221519151
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.20397815631330488,24,37193,7,17,68,37125,0.2916666666666667,0.09333333333333334,0.0018283010243863092,0.8829147957949077,0.22873182695257616
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.01704923079348915,24,37193,13,11,276,36917,0.5416666666666666,0.04498269896193772,0.007420751216626785,0.8829147957949077,0.22873182695257616
tosfeat_diff14,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0033996356045827405,24,37193,17,7,500,36693,0.7083333333333334,0.03288201160541586,0.01344338988519345,0.8829147957949077,0.22873182695257616
