experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.16526840624213265,32,37345,7,25,26,37319,0.21875,0.21212121212121213,0.000696211005489356,0.9048663643057974,0.11629941722284733
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.09002130344509944,32,37345,18,14,167,37178,0.5625,0.0972972972972973,0.004471816842950864,0.9048663643057974,0.11629941722284733
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.04396263837814333,32,37345,23,9,350,36995,0.71875,0.06166219839142091,0.00937207122774133,0.9048663643057974,0.11629941722284733
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.007355310302227737,32,37345,25,7,1874,35471,0.78125,0.013164823591363875,0.050180747087963586,0.9048663643057974,0.11629941722284733
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.16526840624213265,29,37316,5,24,22,37294,0.1724137931034483,0.18518518518518517,0.0005895594383106442,0.9158658022259103,0.16565850036525184
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.09002130344509944,29,37316,16,13,160,37156,0.5517241379310345,0.09090909090909091,0.004287705005895594,0.9158658022259103,0.16565850036525184
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.04396263837814333,29,37316,24,5,360,36956,0.8275862068965517,0.0625,0.009647336263265088,0.9158658022259103,0.16565850036525184
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.007355310302227737,29,37316,25,4,1778,35538,0.8620689655172413,0.013865779256794232,0.04764712187801479,0.9158658022259103,0.16565850036525184
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.16526840624213265,27,37286,9,18,33,37253,0.3333333333333333,0.21428571428571427,0.0008850506892667489,0.8688078734745044,0.144484886057138
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.09002130344509944,27,37286,16,11,182,37104,0.5925925925925926,0.08080808080808081,0.004881188649895403,0.8688078734745044,0.144484886057138
tosimb_focal_g1,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.04396263837814333,27,37286,20,7,395,36891,0.7407407407407407,0.04819277108433735,0.010593788553344419,0.8688078734745044,0.144484886057138
