experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.9186077920198457,32,37345,2,30,20,37325,0.0625,0.09090909090909091,0.0005355469272995046,0.9101611661534341,0.09337242246659226
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.8644699019193649,32,37345,19,13,149,37196,0.59375,0.1130952380952381,0.003989824608381309,0.9101611661534341,0.09337242246659226
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.7973858487606049,32,37345,23,9,321,37024,0.71875,0.06686046511627906,0.008595528183157048,0.9101611661534341,0.09337242246659226
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.47524626553058624,32,37345,26,6,1909,35436,0.8125,0.013436692506459949,0.05111795421073772,0.9101611661534341,0.09337242246659226
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.9186077920198457,29,37316,5,24,22,37294,0.1724137931034483,0.18518518518518517,0.0005895594383106442,0.9203032072772703,0.10323448699859276
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.8644699019193649,29,37316,16,13,146,37170,0.5517241379310345,0.09876543209876543,0.00391253081787973,0.9203032072772703,0.10323448699859276
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.7973858487606049,29,37316,20,9,316,37000,0.6896551724137931,0.05952380952380952,0.008468217386643799,0.9203032072772703,0.10323448699859276
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.47524626553058624,29,37316,25,4,1667,35649,0.8620689655172413,0.014775413711583925,0.04467252653017472,0.9203032072772703,0.10323448699859276
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.9186077920198457,27,37286,2,25,28,37258,0.07407407407407407,0.06666666666666667,0.0007509520999839081,0.888902795409259,0.07820694952062376
tosimb_focal_g2auto,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.8644699019193649,27,37286,16,11,156,37130,0.5925925925925926,0.09302325581395349,0.0041838759856246315,0.888902795409259,0.07820694952062376
