experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,32,37345,4,28,35,37310,0.125,0.10256410256410256,0.0009372071227741331,0.9098034375418396,0.1240747280754681
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,32,37345,22,10,168,37177,0.6875,0.11578947368421053,0.004498594189315839,0.9098034375418396,0.1240747280754681
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,32,37345,23,9,351,36994,0.71875,0.06149732620320856,0.009398848574106305,0.9098034375418396,0.1240747280754681
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,32,37345,25,7,1987,35358,0.78125,0.01242544731610338,0.05320658722720578,0.9098034375418396,0.1240747280754681
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,29,37316,6,23,32,37284,0.20689655172413793,0.15789473684210525,0.0008575410011791188,0.9157013169907704,0.16888942969476492
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,29,37316,15,14,170,37146,0.5172413793103449,0.08108108108108109,0.0045556865687640695,0.9157013169907704,0.16888942969476492
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,29,37316,21,8,361,36955,0.7241379310344828,0.0549738219895288,0.009674134419551934,0.9157013169907704,0.16888942969476492
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,29,37316,25,4,1781,35535,0.8620689655172413,0.013842746400885935,0.04772751634687533,0.9157013169907704,0.16888942969476492
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,27,37286,8,19,41,37245,0.2962962962962963,0.16326530612244897,0.001099608432119294,0.8463597696285567,0.12738960361798005
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,27,37286,16,11,195,37091,0.5925925925925926,0.07582938388625593,0.005229844982030789,0.8463597696285567,0.12738960361798005
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,27,37286,19,8,399,36887,0.7037037037037037,0.045454545454545456,0.01070106742477069,0.8463597696285567,0.12738960361798005
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,27,37286,21,6,1964,35322,0.7777777777777778,0.01057934508816121,0.05267392587029984,0.8463597696285567,0.12738960361798005
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,18,37265,5,13,48,37217,0.2777777777777778,0.09433962264150944,0.0012880719173487187,0.9294780625251577,0.09685777245076282
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,18,37265,12,6,217,37048,0.6666666666666666,0.05240174672489083,0.005823158459680665,0.9294780625251577,0.09685777245076282
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,18,37265,14,4,444,36821,0.7777777777777778,0.03056768558951965,0.011914665235475647,0.9294780625251577,0.09685777245076282
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,18,37265,16,2,1962,35303,0.8888888888888888,0.008088978766430738,0.05264993962162887,0.9294780625251577,0.09685777245076282
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,29,37220,10,19,49,37171,0.3448275862068966,0.1694915254237288,0.0013164965072541644,0.917962163464211,0.09178085047986463
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,29,37220,16,13,249,36971,0.5517241379310345,0.06037735849056604,0.006689951638903815,0.917962163464211,0.09178085047986463
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,29,37220,23,6,455,36765,0.7931034482758621,0.04811715481171548,0.012224610424502956,0.917962163464211,0.09178085047986463
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,29,37220,24,5,1976,35244,0.8275862068965517,0.012,0.053089736700698546,0.917962163464211,0.09178085047986463
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.17450042608380353,24,37193,8,16,73,37120,0.3333333333333333,0.09876543209876543,0.001962734923238244,0.8911466315346077,0.19546972122307796
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.05284398678690177,24,37193,11,13,255,36938,0.4583333333333333,0.041353383458646614,0.006856128841448659,0.8911466315346077,0.19546972122307796
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.0077817215584218965,24,37193,17,7,490,36703,0.7083333333333334,0.03353057199211045,0.01317452208748958,0.8911466315346077,0.19546972122307796
tosimb_none,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00013901381462346767,24,37193,19,5,2189,35004,0.7916666666666666,0.008605072463768116,0.05885516091737693,0.8911466315346077,0.19546972122307796
