experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.7416352219581644,32,37345,5,27,24,37321,0.15625,0.1724137931034483,0.0006426563127594055,0.9132447449457759,0.13584435901754469
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.24526386365294114,32,37345,17,15,149,37196,0.53125,0.10240963855421686,0.003989824608381309,0.9132447449457759,0.13584435901754469
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.03835329823195959,32,37345,24,8,340,37005,0.75,0.06593406593406594,0.009104297764091579,0.9132447449457759,0.13584435901754469
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.001875189121346922,32,37345,25,7,1972,35373,0.78125,0.012518778167250876,0.052804927031731154,0.9132447449457759,0.13584435901754469
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.7416352219581644,29,37316,6,23,25,37291,0.20689655172413793,0.1935483870967742,0.0006699539071711866,0.8961552962397566,0.1476748159681387
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.24526386365294114,29,37316,13,16,141,37175,0.4482758620689655,0.08441558441558442,0.0037785400364454924,0.8961552962397566,0.1476748159681387
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.03835329823195959,29,37316,22,7,339,36977,0.7586206896551724,0.060941828254847646,0.009084574981241291,0.8961552962397566,0.1476748159681387
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.001875189121346922,29,37316,24,5,1560,35756,0.8275862068965517,0.015151515151515152,0.041805123807482046,0.8961552962397566,0.1476748159681387
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.7416352219581644,27,37286,9,18,34,37252,0.3333333333333333,0.20930232558139536,0.0009118704071233171,0.8892300952993974,0.14519843698204993
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.24526386365294114,27,37286,16,11,163,37123,0.5925925925925926,0.0893854748603352,0.004371614010620608,0.8892300952993974,0.14519843698204993
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.03835329823195959,27,37286,18,9,378,36908,0.6666666666666666,0.045454545454545456,0.01013785334978276,0.8892300952993974,0.14519843698204993
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.001875189121346922,27,37286,21,6,1853,35433,0.7777777777777778,0.011205976520811099,0.04969693718822078,0.8892300952993974,0.14519843698204993
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.7416352219581644,18,37265,5,13,49,37216,0.2777777777777778,0.09259259259259259,0.0013149067489601502,0.9197072021706397,0.1055387349902788
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.24526386365294114,18,37265,11,7,224,37041,0.6111111111111112,0.04680851063829787,0.006011002280960687,0.9197072021706397,0.1055387349902788
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.03835329823195959,18,37265,13,5,516,36749,0.7222222222222222,0.024574669187145556,0.013846773111498725,0.9197072021706397,0.1055387349902788
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.001875189121346922,18,37265,15,3,1833,35432,0.8333333333333334,0.008116883116883116,0.04918824634375419,0.9197072021706397,0.1055387349902788
