experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,32,37345,9,23,41,37304,0.28125,0.18,0.0010978712009639844,0.9089009572901325,0.12060231071699057
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,32,37345,23,9,213,37132,0.71875,0.09745762711864407,0.0057035747757397245,0.9089009572901325,0.12060231071699057
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,32,37345,23,9,404,36941,0.71875,0.053864168618266976,0.010818047931449993,0.9089009572901325,0.12060231071699057
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-09,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,32,37345,25,7,2241,35104,0.78125,0.011032656663724626,0.060008033203909496,0.9089009572901325,0.12060231071699057
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,29,37316,5,24,40,37276,0.1724137931034483,0.1111111111111111,0.0010719262514738985,0.9073985089136212,0.14441560921458893
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,29,37316,17,12,215,37101,0.5862068965517241,0.07327586206896551,0.005761603601672205,0.9073985089136212,0.14441560921458893
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,29,37316,24,5,407,36909,0.8275862068965517,0.05568445475638051,0.010906849608746919,0.9073985089136212,0.14441560921458893
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-10,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,29,37316,24,5,1776,35540,0.8275862068965517,0.013333333333333334,0.047593525565441094,0.9073985089136212,0.14441560921458893
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,27,37286,9,18,60,37226,0.3333333333333333,0.13043478260869565,0.001609183071394089,0.88592580672718,0.12533658311173376
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,27,37286,18,9,256,37030,0.6666666666666666,0.06569343065693431,0.006865847771281446,0.88592580672718,0.12533658311173376
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,27,37286,19,8,440,36846,0.7037037037037037,0.04139433551198257,0.011800675856889986,0.88592580672718,0.12533658311173376
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-11,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,27,37286,22,5,2065,35221,0.8148148148148148,0.010541447053186392,0.05538271737381323,0.88592580672718,0.12533658311173376
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,18,37265,7,11,62,37203,0.3888888888888889,0.10144927536231885,0.0016637595599087616,0.9127040565320452,0.10330547110019518
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,18,37265,13,5,310,36955,0.7222222222222222,0.04024767801857585,0.008318797799543807,0.9127040565320452,0.10330547110019518
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,18,37265,14,4,526,36739,0.7777777777777778,0.025925925925925925,0.014115121427613042,0.9127040565320452,0.10330547110019518
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2025-12,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,18,37265,15,3,1940,35325,0.8333333333333334,0.0076726342710997444,0.05205957332617738,0.9127040565320452,0.10330547110019518
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,29,37220,5,24,67,37153,0.1724137931034483,0.06944444444444445,0.001800107469102633,0.915539476366062,0.06280760621599245
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,29,37220,19,10,308,36912,0.6551724137931034,0.0581039755351682,0.008275120902740463,0.915539476366062,0.06280760621599245
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,29,37220,24,5,513,36707,0.8275862068965517,0.0446927374301676,0.013782912412681354,0.915539476366062,0.06280760621599245
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-01,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,29,37220,25,4,2021,35199,0.8620689655172413,0.012218963831867057,0.05429876410531972,0.915539476366062,0.06280760621599245
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,24,37193,10,14,100,37093,0.4166666666666667,0.09090909090909091,0.00268867797703869,0.8989874886851469,0.1702444427701809
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,24,37193,14,10,328,36865,0.5833333333333334,0.04093567251461988,0.008818863764686904,0.8989874886851469,0.1702444427701809
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,24,37193,17,7,551,36642,0.7083333333333334,0.02992957746478873,0.014814615653483182,0.8989874886851469,0.1702444427701809
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-02,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,24,37193,19,5,2228,34965,0.7916666666666666,0.008455718736092568,0.05990374532842201,0.8989874886851469,0.1702444427701809
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-03,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.001,0.124002171911303,35,37164,17,18,108,37056,0.4857142857142857,0.136,0.0029060381013884403,0.9305387702384795,0.164420624138616
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-03,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.005,0.007495121574029466,35,37164,26,9,368,36796,0.7428571428571429,0.06598984771573604,0.00990205575287913,0.9305387702384795,0.164420624138616
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-03,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.01,0.001429556239163462,35,37164,28,7,590,36574,0.8,0.045307443365695796,0.015875578516844256,0.9305387702384795,0.164420624138616
toslb_21,TOSHIBA_20MG07ACA14TA,lstm,sequence,42,2026-03,2024-08-31,2025-06-30,in_horizon,10,val_quantile,0.05,0.00018120646491297536,35,37164,29,6,2109,35055,0.8285714285714286,0.013564078578110383,0.05674846625766871,0.9305387702384795,0.164420624138616
