experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.15663391709327454,29,37316,5,24,38,37278,0.1724137931034483,0.11627906976744186,0.0010183299389002036,0.8854840855914632,0.12045171669212512
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03141302727162857,29,37316,21,8,187,37129,0.7241379310344828,0.10096153846153846,0.005011255225640476,0.8854840855914632,0.12045171669212512
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007803390687331445,29,37316,23,6,374,36942,0.7931034482758621,0.05793450881612091,0.010022510451280952,0.8854840855914632,0.12045171669212512
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00037344873999245465,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.8854840855914632,0.12045171669212512
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.17928189098831396,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.8533050832305245,0.11167231196674955
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03633609926327977,27,37286,17,10,187,37099,0.6296296296296297,0.08333333333333333,0.005015287239178244,0.8533050832305245,0.11167231196674955
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.011539979744702741,27,37286,19,8,373,36913,0.7037037037037037,0.04846938775510204,0.01000375476049992,0.8533050832305245,0.11167231196674955
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00044130425521871075,27,37286,20,7,1865,35421,0.7407407407407407,0.010610079575596816,0.0500187738024996,0.8533050832305245,0.11167231196674955
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2133701705932439,18,37265,4,14,38,37227,0.2222222222222222,0.09523809523809523,0.0010197236012344023,0.9221208461916901,0.06522574186977419
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.039601556807756476,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9221208461916901,0.06522574186977419
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.01511347863823176,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9221208461916901,0.06522574186977419
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.000426823575980959,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9221208461916901,0.06522574186977419
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1886466969996706,29,37220,4,25,38,37182,0.13793103448275862,0.09523809523809523,0.0010209564750134337,0.9188858418721858,0.08043235165716274
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.045033392552286375,29,37220,19,10,187,37033,0.6551724137931034,0.09223300970873786,0.0050241805480924235,0.9188858418721858,0.08043235165716274
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.017391875702887756,29,37220,23,6,373,36847,0.7931034482758621,0.05808080808080808,0.0100214938205266,0.9188858418721858,0.08043235165716274
toslb_21,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00044423602521419475,29,37220,25,4,1861,35359,0.8620689655172413,0.013255567338282079,0.05,0.9188858418721858,0.08043235165716274
