experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.19165659935772555,29,37316,6,23,26,37290,0.20689655172413793,0.1875,0.0006967520634580341,0.9138864349581024,0.10100117688263006
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.026411769501863743,29,37316,18,11,189,37127,0.6206896551724138,0.08695652173913043,0.005064851538214171,0.9138864349581024,0.10100117688263006
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00852034550160173,29,37316,22,7,395,36921,0.7586206896551724,0.05275779376498801,0.010585271733304749,0.9138864349581024,0.10100117688263006
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0007584537495858944,29,37316,24,5,1507,35809,0.8275862068965517,0.015676028739386023,0.04038482152427913,0.9138864349581024,0.10100117688263006
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.19165659935772555,27,37286,8,19,33,37253,0.2962962962962963,0.1951219512195122,0.0008850506892667489,0.8321820721112682,0.10708534246854802
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.026411769501863743,27,37286,16,11,220,37066,0.5925925925925926,0.06779661016949153,0.005900337928444993,0.8321820721112682,0.10708534246854802
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00852034550160173,27,37286,20,7,434,36852,0.7407407407407407,0.04405286343612335,0.011639757549750577,0.8321820721112682,0.10708534246854802
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0007584537495858944,27,37286,21,6,1909,35377,0.7777777777777778,0.010880829015544042,0.051198841388188594,0.8321820721112682,0.10708534246854802
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.19165659935772555,18,37265,4,14,35,37230,0.2222222222222222,0.10256410256410256,0.0009392191064001073,0.935967619303189,0.07793552922225733
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.026411769501863743,18,37265,13,5,252,37013,0.7222222222222222,0.04905660377358491,0.0067623775660807725,0.935967619303189,0.07793552922225733
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00852034550160173,18,37265,13,5,469,36796,0.7222222222222222,0.026970954356846474,0.012585536025761438,0.935967619303189,0.07793552922225733
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0007584537495858944,18,37265,15,3,1665,35600,0.8333333333333334,0.008928571428571428,0.044679994633033675,0.935967619303189,0.07793552922225733
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.19165659935772555,29,37220,2,27,39,37181,0.06896551724137931,0.04878048780487805,0.001047823750671682,0.9335961385239675,0.06194123876701788
toslb_7_pauc,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.026411769501863743,29,37220,19,10,267,36953,0.6551724137931034,0.06643356643356643,0.0071735626007522835,0.9335961385239675,0.06194123876701788
