experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5252014393806087,38,9878,13,25,4,9874,0.34210526315789475,0.7647058823529411,0.00040494027130998176,0.9620395136454216,0.5077717648053096
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.1909045785665507,38,9878,22,16,32,9846,0.5789473684210527,0.4074074074074074,0.003239522170479854,0.9620395136454216,0.5077717648053096
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08272538363933617,38,9878,25,13,63,9815,0.6578947368421053,0.2840909090909091,0.006377809273132213,0.9620395136454216,0.5077717648053096
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-09,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012250644527375674,38,9878,30,8,353,9525,0.7894736842105263,0.0783289817232376,0.035735978943105894,0.9620395136454216,0.5077717648053096
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5252014393806087,29,9842,4,25,6,9836,0.13793103448275862,0.4,0.000609632188579557,0.9621292280094458,0.22689249082049556
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.1909045785665507,29,9842,12,17,32,9810,0.41379310344827586,0.2727272727272727,0.003251371672424304,0.9621292280094458,0.22689249082049556
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.01,0.08272538363933617,29,9842,15,14,85,9757,0.5172413793103449,0.15,0.008636456004877058,0.9621292280094458,0.22689249082049556
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-10,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.05,0.012250644527375674,29,9842,21,8,383,9459,0.7241379310344828,0.05198019801980198,0.038914854704328386,0.9621292280094458,0.22689249082049556
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.001,0.5252014393806087,23,9807,4,19,11,9796,0.17391304347826086,0.26666666666666666,0.0011216478025899868,0.9212097836062085,0.2470956479760478
win16_asfd7,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-11,2024-03-01,2025-06-30,in_horizon,10,val_quantile,0.005,0.1909045785665507,23,9807,9,14,44,9763,0.391304347826087,0.16981132075471697,0.004486591210359947,0.9212097836062085,0.2470956479760478
