experiment,drive,model,family,rule,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
zoo_3month,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,0.005,1,47,29247,0.3617021276595745,0.0,0.10365853658536585,0.0,0.005026156528874756,0.0,0.9650684921336957,0.0,0.15552253514442524,0.0,17.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,0.01,1,47,29247,0.6170212765957447,0.0,0.08978328173374613,0.0,0.010052313057749512,0.0,0.9650684921336957,0.0,0.15552253514442524,0.0,29.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,0.02,1,47,29247,0.6595744680851063,0.0,0.050243111831442464,0.0,0.020036243033473518,0.0,0.9650684921336957,0.0,0.15552253514442524,0.0,31.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,0.04,1,47,29247,0.7872340425531915,0.0,0.030629139072847682,0.0,0.040038294525934284,0.0,0.9650684921336957,0.0,0.15552253514442524,0.0,37.0,0.0
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,0.005,1,47,29247,0.3829787234042553,0.0,0.10909090909090909,0.0,0.005026156528874756,0.0,0.9743881402167217,0.0,0.15476433394601766,0.0,18.0,0.0
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,0.01,1,47,29247,0.6382978723404256,0.0,0.09259259259259259,0.0,0.010052313057749512,0.0,0.9743881402167217,0.0,0.15476433394601766,0.0,30.0,0.0
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,0.02,1,47,29247,0.723404255319149,0.0,0.054838709677419356,0.0,0.020036243033473518,0.0,0.9743881402167217,0.0,0.15476433394601766,0.0,34.0,0.0
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.9743881402167217,0.0,0.15476433394601766,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,catboost,tabular,in_horizon,0.005,1,47,29247,0.3617021276595745,0.0,0.10365853658536585,0.0,0.005026156528874756,0.0,0.9645324901919604,0.0,0.13173601002763338,0.0,17.0,0.0
zoo_3month,HGST_20HUH721212ALN604,catboost,tabular,in_horizon,0.01,1,47,29247,0.46808510638297873,0.0,0.06962025316455696,0.0,0.010052313057749512,0.0,0.9645324901919604,0.0,0.13173601002763338,0.0,22.0,0.0
zoo_3month,HGST_20HUH721212ALN604,catboost,tabular,in_horizon,0.02,1,47,29247,0.5531914893617021,0.0,0.042483660130718956,0.0,0.020036243033473518,0.0,0.9645324901919604,0.0,0.13173601002763338,0.0,26.0,0.0
zoo_3month,HGST_20HUH721212ALN604,catboost,tabular,in_horizon,0.04,1,47,29247,0.7021276595744681,0.0,0.027408637873754152,0.0,0.040038294525934284,0.0,0.9645324901919604,0.0,0.13173601002763338,0.0,33.0,0.0
