serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score
ZCH015JV,0,0,,,,0,0,0,1,0.7198649048805237,
ZCH01EPM,0,0,,,,0,0,0,1,0.6644574403762817,
ZCH01FJQ,0,0,,,,0,0,0,1,0.6298392415046692,
ZCH01N48,0,0,,,,0,0,0,1,0.6885354518890381,
ZCH01N5C,0,0,,,,0,0,0,1,0.4638431966304779,
ZCH01VVW,1,0,,2019-12-14,,0,0,1,0,0.826872706413269,
ZCH020X2,0,0,,,,0,0,0,1,0.7137830853462219,
ZCH021B9,0,0,,,,0,0,0,1,0.5081917643547058,
ZCH021T5,0,0,,,,0,0,0,1,0.43661466240882874,
ZCH028E0,0,0,,,,0,0,0,1,0.6574953198432922,
ZCH02A3Z,0,0,,,,0,0,0,1,0.4814016819000244,
ZCH02HE1,0,0,,,,0,0,0,1,0.6282278299331665,
ZCH02HGF,0,0,,,,0,0,0,1,0.6739780902862549,
ZCH02K91,0,0,,,,0,0,0,1,0.5475128889083862,
ZCH02TPE,0,0,,,,0,0,0,1,0.5088427662849426,
ZCH02WFA,0,0,,,,0,0,0,1,0.7011488676071167,
ZCH02WVK,0,0,,,,0,0,0,1,0.5132907629013062,
ZCH02YZ5,1,0,,2020-01-13,,0,0,1,0,0.7773794531822205,
ZCH032KA,0,0,,,,0,0,0,1,0.4293844699859619,
ZCH03337,0,0,,,,0,0,0,1,0.483476459980011,
ZCH0335T,0,0,,,,0,0,0,1,0.5016164183616638,
ZCH037NR,0,0,,,,0,0,0,1,0.595213770866394,
ZCH03B4M,0,0,,,,0,0,0,1,0.8222627639770508,
ZCH03B6A,0,0,,,,0,0,0,1,0.4427154064178467,
ZCH03B94,0,0,,,,0,0,0,1,0.48959454894065857,
ZCH03BF3,0,0,,,,0,0,0,1,0.865029513835907,
ZCH03BMN,1,1,2018-11-07,2019-09-10,307.0,0,0,1,0,0.9894579648971558,0.9722651243209839
ZCH03C2B,0,0,,,,0,0,0,1,0.8676959872245789,
ZCH03C7S,0,0,,,,0,0,0,1,0.6080266833305359,
ZCH03C9C,0,0,,,,0,0,0,1,0.5018252730369568,
ZCH03CEH,0,0,,,,0,0,0,1,0.5980125665664673,
ZCH03CGM,0,0,,,,0,0,0,1,0.9343240857124329,
ZCH03FEX,0,0,,,,0,0,0,1,0.49784407019615173,
ZCH03FW3,0,0,,,,0,0,0,1,0.7481511831283569,
ZCH03SX9,0,0,,,,0,0,0,1,0.6148207783699036,
ZCH03TEA,0,0,,,,0,0,0,1,0.5921081900596619,
ZCH03V50,0,0,,,,0,0,0,1,0.5571532249450684,
ZCH0407E,0,0,,,,0,0,0,1,0.4115288257598877,
ZCH041A5,0,0,,,,0,0,0,1,0.5263756513595581,
ZCH041CP,0,0,,,,0,0,0,1,0.44304752349853516,
ZCH041EB,0,0,,,,0,0,0,1,0.6369298696517944,
ZCH043EN,0,0,,,,0,0,0,1,0.5962845683097839,
ZCH044F4,1,0,,2019-07-16,,0,0,1,0,0.5917994976043701,
ZCH046M5,0,0,,,,0,0,0,1,0.9120824933052063,
ZCH04DAX,0,0,,,,0,0,0,1,0.6570807695388794,
ZCH04ML1,1,0,,2020-07-11,,0,0,1,0,0.9140228033065796,
ZCH04MZ3,0,0,,,,0,0,0,1,0.5523563027381897,
ZCH04PQ3,0,0,,,,0,0,0,1,0.7476176023483276,
ZCH04WZV,0,0,,,,0,0,0,1,0.5573540329933167,
ZCH04XKL,0,0,,,,0,0,0,1,0.765268862247467,
ZCH04YKA,0,0,,,,0,0,0,1,0.5359681248664856,
ZCH04Z7X,0,0,,,,0,0,0,1,0.8901976346969604,
ZCH0516L,1,0,,2019-08-19,,0,0,1,0,0.8427478075027466,
ZCH052LA,0,0,,,,0,0,0,1,0.7039953470230103,
ZCH052PV,0,1,2021-01-26,,,0,1,0,0,0.9924028515815735,0.9910794496536255
ZCH052QV,0,0,,,,0,0,0,1,0.634922444820404,
ZCH0531V,0,0,,,,0,0,0,1,0.7526589035987854,
ZCH053S1,0,0,,,,0,0,0,1,0.8977929353713989,
ZCH0540X,0,0,,,,0,0,0,1,0.8648988604545593,
ZCH055W5,0,0,,,,0,0,0,1,0.41511908173561096,
ZCH0569G,0,0,,,,0,0,0,1,0.6936693787574768,
ZCH05866,0,0,,,,0,0,0,1,0.7303820252418518,
ZCH058NE,0,0,,,,0,0,0,1,0.721615195274353,
ZCH059NG,0,0,,,,0,0,0,1,0.5344277024269104,
ZCH05B6N,0,0,,,,0,0,0,1,0.5895734429359436,
ZCH05CBN,0,0,,,,0,0,0,1,0.5963053107261658,
ZCH05CM7,0,0,,,,0,0,0,1,0.44579458236694336,
ZCH05EAF,0,0,,,,0,0,0,1,0.6143261194229126,
ZCH05G0L,0,0,,,,0,0,0,1,0.6997015476226807,
ZCH05H16,0,0,,,,0,0,0,1,0.7060428261756897,
ZCH05H4D,0,0,,,,0,0,0,1,0.7594348788261414,
ZCH05HEZ,0,0,,,,0,0,0,1,0.5734511613845825,
ZCH05HJ6,0,1,2020-11-20,,,0,1,0,0,0.9833081364631653,0.9650667309761047
ZCH05J0X,0,0,,,,0,0,0,1,0.5253638029098511,
ZCH05LLC,0,0,,,,0,0,0,1,0.5105410814285278,
ZCH05MAT,0,0,,,,0,0,0,1,0.44023561477661133,
ZCH05WKW,0,0,,,,0,0,0,1,0.6343914866447449,
ZCH05WY2,0,0,,,,0,0,0,1,0.5448077917098999,
ZCH060KF,0,0,,,,0,0,0,1,0.9401998519897461,
ZCH060KL,0,0,,,,0,0,0,1,0.8022160530090332,
ZCH060MT,0,0,,,,0,0,0,1,0.7323929667472839,
ZCH060NG,0,0,,,,0,0,0,1,0.5627169609069824,
ZCH060R4,0,0,,,,0,0,0,1,0.758916974067688,
ZCH060X2,0,0,,,,0,0,0,1,0.5537530183792114,
ZCH060XS,0,0,,,,0,0,0,1,0.5606716871261597,
ZCH0611V,0,0,,,,0,0,0,1,0.7911053895950317,
ZCH0657M,0,0,,,,0,0,0,1,0.5494289398193359,
ZCH065D4,0,0,,,,0,0,0,1,0.5614506602287292,
ZCH065GR,0,0,,,,0,0,0,1,0.45619019865989685,
ZCH065J1,0,0,,,,0,0,0,1,0.48407602310180664,
ZCH065LH,0,0,,,,0,0,0,1,0.5809170603752136,
ZCH065RG,0,0,,,,0,0,0,1,0.6465851664543152,
ZCH065S8,0,0,,,,0,0,0,1,0.648318886756897,
ZCH065WL,0,0,,,,0,0,0,1,0.6450256705284119,
ZCH0661R,0,0,,,,0,0,0,1,0.6736579537391663,
ZCH0662J,0,0,,,,0,0,0,1,0.7600374221801758,
ZCH0664T,0,0,,,,0,0,0,1,0.5488957166671753,
ZCH066AP,0,0,,,,0,0,0,1,0.8908928036689758,
ZCH066F9,0,1,2019-03-15,,,0,1,0,0,0.9864938855171204,0.9839137196540833
ZCH066FD,0,0,,,,0,0,0,1,0.5999211072921753,
ZCH066FP,0,0,,,,0,0,0,1,0.6120668053627014,
ZCH066FS,1,0,,2020-01-20,,0,0,1,0,0.9034394025802612,
ZCH066FV,0,0,,,,0,0,0,1,0.9239130020141602,
ZCH066G4,0,0,,,,0,0,0,1,0.5551182627677917,
ZCH066GG,0,0,,,,0,0,0,1,0.6147109866142273,
ZCH066QP,0,0,,,,0,0,0,1,0.46004295349121094,
ZCH066RD,0,0,,,,0,0,0,1,0.6239322423934937,
ZCH066XA,0,0,,,,0,0,0,1,0.5415898561477661,
ZCH066YH,0,0,,,,0,0,0,1,0.42326194047927856,
ZCH066Z1,0,0,,,,0,0,0,1,0.7167876362800598,
ZCH0670F,0,0,,,,0,0,0,1,0.5913972854614258,
ZCH0670J,0,0,,,,0,0,0,1,0.5521549582481384,
ZCH0679H,0,0,,,,0,0,0,1,0.6971436738967896,
ZCH067QB,0,0,,,,0,0,0,1,0.5800185203552246,
ZCH067TT,0,0,,,,0,0,0,1,0.5480645298957825,
ZCH067XA,0,0,,,,0,0,0,1,0.5564978122711182,
ZCH0680J,0,0,,,,0,0,0,1,0.5174885988235474,
ZCH06811,0,0,,,,0,0,0,1,0.518308162689209,
ZCH0682L,0,1,2019-09-11,,,0,1,0,0,0.9828147888183594,0.9679381251335144
ZCH068NL,0,0,,,,0,0,0,1,0.5216810703277588,
ZCH068PG,0,0,,,,0,0,0,1,0.5936358571052551,
ZCH068PN,0,0,,,,0,0,0,1,0.5750068426132202,
ZCH068VT,0,0,,,,0,0,0,1,0.40632495284080505,
ZCH0696A,0,0,,,,0,0,0,1,0.46461886167526245,
ZCH069AQ,0,0,,,,0,0,0,1,0.6692345142364502,
ZCH06CJS,0,0,,,,0,0,0,1,0.6104792952537537,
ZCH06CND,0,0,,,,0,0,0,1,0.6653726696968079,
ZCH06CXP,0,0,,,,0,0,0,1,0.5771933794021606,
ZCH06D4A,0,0,,,,0,0,0,1,0.566994845867157,
ZCH06D5X,0,0,,,,0,0,0,1,0.5255380868911743,
ZCH06D6Y,0,0,,,,0,0,0,1,0.89857417345047,
ZCH06DDF,0,0,,,,0,0,0,1,0.552244246006012,
ZCH06DH4,0,0,,,,0,0,0,1,0.6958440542221069,
ZCH06DQV,0,0,,,,0,0,0,1,0.7308982610702515,
ZCH06DTL,0,0,,,,0,0,0,1,0.6101811528205872,
ZCH06DZH,0,0,,,,0,0,0,1,0.4927101135253906,
ZCH06E0E,0,0,,,,0,0,0,1,0.5067259073257446,
ZCH06E1C,0,0,,,,0,0,0,1,0.5792232751846313,
ZCH06E2P,0,0,,,,0,0,0,1,0.6154137849807739,
ZCH06E8P,0,0,,,,0,0,0,1,0.5803869962692261,
ZCH06E9C,0,0,,,,0,0,0,1,0.4177958071231842,
ZCH06E9G,1,1,2019-11-04,2019-11-04,0.0,1,0,0,0,0.9719311594963074,0.9719311594963074
ZCH06E9J,0,0,,,,0,0,0,1,0.4959971010684967,
ZCH06EAX,0,0,,,,0,0,0,1,0.5748399496078491,
ZCH06ECB,0,0,,,,0,0,0,1,0.6731793880462646,
ZCH06ED5,0,0,,,,0,0,0,1,0.5833337306976318,
ZCH06EDP,0,0,,,,0,0,0,1,0.5594916939735413,
ZCH06EDT,0,0,,,,0,0,0,1,0.5499511957168579,
ZCH06EDY,0,0,,,,0,0,0,1,0.9202260971069336,
ZCH06EEV,0,0,,,,0,0,0,1,0.549420177936554,
ZCH06EG4,0,0,,,,0,0,0,1,0.7602205276489258,
ZCH06EH2,0,1,2019-09-04,,,0,1,0,0,0.9752833247184753,0.9752833247184753
ZCH06EHC,0,0,,,,0,0,0,1,0.7586020827293396,
ZCH06EL3,0,0,,,,0,0,0,1,0.5872716307640076,
ZCH06EML,0,1,2019-06-17,,,0,1,0,0,0.9701962471008301,0.9701962471008301
ZCH06EN4,0,0,,,,0,0,0,1,0.5320205092430115,
ZCH06ENA,0,0,,,,0,0,0,1,0.6669825315475464,
ZCH06ENF,0,0,,,,0,0,0,1,0.660509467124939,
ZCH06ENR,0,0,,,,0,0,0,1,0.5184764266014099,
ZCH06EPA,0,0,,,,0,0,0,1,0.5788611173629761,
ZCH06ESM,0,0,,,,0,0,0,1,0.27093642950057983,
ZCH06ETV,0,0,,,,0,0,0,1,0.5563817620277405,
ZCH06EVR,0,0,,,,0,0,0,1,0.494197279214859,
ZCH06EWM,0,0,,,,0,0,0,1,0.45992669463157654,
ZCH06EWW,0,0,,,,0,0,0,1,0.4540225565433502,
ZCH06EYR,0,0,,,,0,0,0,1,0.627772331237793,
ZCH06F1A,1,0,,2019-12-29,,0,0,1,0,0.8768470883369446,
