serial_number,hdd,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
2AGH33SY,HGST_20HUH721212ALN604,LGBM,0.99,2025-05-08,2025-04-02,36,0.9999356136347155
2AGHN0TY,HGST_20HUH721212ALN604,LGBM,0.99,2020-10-22,2020-09-15,37,0.9999890359664909
2AGHTBYY,HGST_20HUH721212ALN604,LGBM,0.99,2025-01-25,2024-08-31,147,0.9999321928736283
2AGM8UNY,HGST_20HUH721212ALN604,LGBM,0.99,2026-03-12,2025-10-30,133,0.999999999999966
2AGMHWAY,HGST_20HUH721212ALN604,LGBM,0.99,2023-09-22,2023-09-13,9,0.9999993672390599
2AGMKV4Y,HGST_20HUH721212ALN604,LGBM,0.99,2026-01-28,2026-01-18,10,1.0
2AGMLSZY,HGST_20HUH721212ALN604,LGBM,0.99,2020-07-30,2020-07-23,7,0.9999896914968729
2AGMLZLY,HGST_20HUH721212ALN604,LGBM,0.99,2026-02-11,2026-02-11,0,0.9999998637572406
2AGMND4Y,HGST_20HUH721212ALN604,LGBM,0.99,2025-10-27,2025-10-14,13,0.9999999999999938
2AGMNJKY,HGST_20HUH721212ALN604,LGBM,0.99,2025-09-29,2025-09-15,14,0.9999936056993834
2AGMPP4Y,HGST_20HUH721212ALN604,LGBM,0.99,2025-09-23,2025-08-27,27,0.9999998624028877
2AGN9N4Y,HGST_20HUH721212ALN604,LGBM,0.99,2025-03-06,2025-01-26,39,0.999931667507064
2AGP393Y,HGST_20HUH721212ALN604,LGBM,0.99,2023-04-06,2019-08-08,1337,0.9999900915303958
5QH0Z60B,HGST_20HUH721212ALN604,LGBM,0.99,2024-05-14,2024-01-07,128,0.9993178057839059
5QJBW5VB,HGST_20HUH721212ALN604,LGBM,0.99,2024-05-25,2024-03-31,55,1.0
8CGTZ9HE,HGST_20HUH721212ALN604,LGBM,0.99,2023-07-12,2023-05-06,67,1.0
8HG7LGUH,HGST_20HUH721212ALN604,LGBM,0.99,2025-06-01,2025-02-07,114,0.9999968744452099
8HHARE1H,HGST_20HUH721212ALN604,LGBM,0.99,2023-03-24,2022-06-28,269,0.9999998867676677
8HJZEG6H,HGST_20HUH721212ALN604,LGBM,0.99,2023-11-17,2022-10-20,393,0.9953464280016274
8HKY0KHH,HGST_20HUH721212ALN604,LGBM,0.99,2024-05-14,2024-01-10,125,0.9999999414712056
AAG5YYKH,HGST_20HUH721212ALN604,LGBM,0.99,2025-09-30,2025-09-03,27,0.9983253204234089
AAG5YZZH,HGST_20HUH721212ALN604,LGBM,0.99,2025-07-30,2025-07-08,22,0.9993999910044077
AAG61LHH,HGST_20HUH721212ALN604,LGBM,0.99,2024-05-17,2024-05-09,8,0.9998845047923023
AAG63TMH,HGST_20HUH721212ALN604,LGBM,0.99,2025-09-02,2024-09-29,338,0.9999999999942879
AAG63Z8H,HGST_20HUH721212ALN604,LGBM,0.99,2025-09-28,2025-09-13,15,0.9999996202674969
AAG6417H,HGST_20HUH721212ALN604,LGBM,0.99,2024-06-06,2024-05-30,7,0.9998919035649305
AAG682YH,HGST_20HUH721212ALN604,LGBM,0.99,2024-07-04,2020-08-26,1408,0.9909633354420243
AAG6NP0H,HGST_20HUH721212ALN604,LGBM,0.99,2024-09-22,2024-05-29,116,0.997808447113909
AAG6NPRH,HGST_20HUH721212ALN604,LGBM,0.99,2026-03-12,2026-03-12,0,0.9999994603920747
AAG6XU7H,HGST_20HUH721212ALN604,LGBM,0.99,2020-05-23,2019-06-30,328,0.9999896914968729
AAG74EAH,HGST_20HUH721212ALN604,LGBM,0.99,2025-07-27,2024-07-09,383,1.0
AAG76HYH,HGST_20HUH721212ALN604,LGBM,0.99,2021-09-29,2021-09-10,19,1.0
AAG7MULH,HGST_20HUH721212ALN604,LGBM,0.99,2026-03-13,2026-03-08,5,1.0
AAHKS17H,HGST_20HUH721212ALN604,LGBM,0.99,2025-07-07,2025-02-14,143,1.0
AAHKX43H,HGST_20HUH721212ALN604,LGBM,0.99,2019-11-25,2019-10-04,52,0.9999890359664909
AAHLBWGH,HGST_20HUH721212ALN604,LGBM,0.99,2025-08-30,2025-08-22,8,0.9999996673555985
AAHMR03H,HGST_20HUH721212ALN604,LGBM,0.99,2025-11-26,2025-11-13,13,0.9999993971403778
