serial_number,hdd,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
2AGHN0TY,HGST_20HUH721212ALN604,LSTM,0.11,2020-10-22,2020-08-26,57,0.13981547951698303
2AGHTBYY,HGST_20HUH721212ALN604,LSTM,0.11,2025-01-25,2023-09-20,493,0.11550179868936539
2AGHTGEY,HGST_20HUH721212ALN604,LSTM,0.11,2023-03-14,2023-02-06,36,0.113409124314785
2AGM5V7Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-12-05,2024-12-25,345,0.11199413239955902
2AGM8UNY,HGST_20HUH721212ALN604,LSTM,0.11,2026-03-12,2025-10-22,141,0.1275118887424469
2AGME0XY,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-29,2024-01-23,127,0.11032373458147049
2AGMHWAY,HGST_20HUH721212ALN604,LSTM,0.11,2023-09-22,2023-03-25,181,0.11346685141324997
2AGMKV4Y,HGST_20HUH721212ALN604,LSTM,0.11,2026-01-28,2026-01-17,11,0.11584915965795517
2AGMLSZY,HGST_20HUH721212ALN604,LSTM,0.11,2020-07-30,2020-07-22,8,0.13575519621372223
2AGMND4Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-10-27,2025-10-10,17,0.1160031110048294
2AGMNE1Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-11-26,2025-11-26,0,0.5043136477470398
2AGMNJKY,HGST_20HUH721212ALN604,LSTM,0.11,2025-09-29,2025-09-15,14,0.1114625483751297
2AGMPP4Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-09-23,2025-09-11,12,0.15045736730098724
2AGMTK0Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-08-30,2025-08-30,0,0.5183719992637634
2AGN9N4Y,HGST_20HUH721212ALN604,LSTM,0.11,2025-03-06,2025-01-29,36,0.11545218527317047
2AGP393Y,HGST_20HUH721212ALN604,LSTM,0.11,2023-04-06,2022-12-30,97,0.15047957003116608
5QGGAELB,HGST_20HUH721212ALN604,LSTM,0.11,2025-06-04,2025-01-03,152,0.1397901177406311
5QH0Z60B,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-14,2024-02-22,82,0.11710892617702484
5QJBW5VB,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-25,2024-05-09,16,0.13739386200904846
8CGTZ9HE,HGST_20HUH721212ALN604,LSTM,0.11,2023-07-12,2023-04-22,81,0.12738481163978577
8CGXNNUE,HGST_20HUH721212ALN604,LSTM,0.11,2022-05-10,2022-04-28,12,0.11290296167135239
8CH190UE,HGST_20HUH721212ALN604,LSTM,0.11,2022-03-26,2020-12-10,471,0.1273224949836731
8CH5214E,HGST_20HUH721212ALN604,LSTM,0.11,2024-02-15,2024-02-14,1,0.11968739330768585
8HG7LGUH,HGST_20HUH721212ALN604,LSTM,0.11,2025-06-01,2025-03-01,92,0.12381291389465332
8HHARE1H,HGST_20HUH721212ALN604,LSTM,0.11,2023-03-24,2023-03-11,13,0.11926200240850449
8HHPUREH,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-16,2023-08-12,278,0.11413805186748505
8HK6VSKH,HGST_20HUH721212ALN604,LSTM,0.11,2024-03-10,2024-03-05,5,0.11121607571840286
8HKY0KHH,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-14,2023-04-13,397,0.11313600838184357
AAG4Z5AH,HGST_20HUH721212ALN604,LSTM,0.11,2025-03-14,2024-12-03,101,0.11031060665845871
AAG61LHH,HGST_20HUH721212ALN604,LSTM,0.11,2024-05-17,2023-12-21,148,0.1167852133512497
AAG63PKH,HGST_20HUH721212ALN604,LSTM,0.11,2022-05-22,2022-05-12,10,0.12343376129865646
AAG63TMH,HGST_20HUH721212ALN604,LSTM,0.11,2025-09-02,2024-08-12,386,0.1291886866092682
AAG63WHH,HGST_20HUH721212ALN604,LSTM,0.11,2025-11-30,2025-11-30,0,0.11893967539072037
AAG63Z8H,HGST_20HUH721212ALN604,LSTM,0.11,2025-09-28,2025-09-16,12,0.12694096565246582
AAG6417H,HGST_20HUH721212ALN604,LSTM,0.11,2024-06-06,2024-06-04,2,0.11531414836645126
AAG682YH,HGST_20HUH721212ALN604,LSTM,0.11,2024-07-04,2024-02-15,140,0.11356427520513535
AAG6J2KH,HGST_20HUH721212ALN604,LSTM,0.11,2023-10-19,2022-11-10,343,0.11553703248500824
AAG6NP0H,HGST_20HUH721212ALN604,LSTM,0.11,2024-09-22,2024-02-24,211,0.11689911782741547
AAG6NPRH,HGST_20HUH721212ALN604,LSTM,0.11,2026-03-12,2026-03-12,0,0.42260321974754333
AAG6NRBH,HGST_20HUH721212ALN604,LSTM,0.11,2024-07-11,2024-04-26,76,0.1177348867058754
AAG6XU7H,HGST_20HUH721212ALN604,LSTM,0.11,2020-05-23,2019-07-04,324,0.12653441727161407
AAG6XWJH,HGST_20HUH721212ALN604,LSTM,0.11,2025-04-04,2025-02-24,39,0.11043117195367813
AAG74EAH,HGST_20HUH721212ALN604,LSTM,0.11,2025-07-27,2023-04-30,819,0.1278127282857895
AAG76HYH,HGST_20HUH721212ALN604,LSTM,0.11,2021-09-29,2021-08-30,30,0.19463646411895752
AAG7MULH,HGST_20HUH721212ALN604,LSTM,0.11,2026-03-13,2026-02-13,28,0.3342767357826233
AAHLBTZH,HGST_20HUH721212ALN604,LSTM,0.11,2025-07-26,2025-06-16,40,0.11414162814617157
AAHLBWGH,HGST_20HUH721212ALN604,LSTM,0.11,2025-08-30,2025-08-30,0,0.3367379307746887
AAHLY31H,HGST_20HUH721212ALN604,LSTM,0.11,2025-07-25,2024-12-02,235,0.11551930755376816
AAHMR03H,HGST_20HUH721212ALN604,LSTM,0.11,2025-11-26,2025-11-18,8,0.11159428209066391
