serial_number,hdd,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
2AGGHGJY,HGST_20HUH721212ALN604,XGB,0.46,2024-11-19,2024-11-19,0,0.5702230930328369
2AGH31PY,HGST_20HUH721212ALN604,XGB,0.46,2024-11-18,2024-08-11,99,0.5558663606643677
2AGH33SY,HGST_20HUH721212ALN604,XGB,0.46,2025-05-08,2025-03-01,68,0.5604959726333618
2AGHN0TY,HGST_20HUH721212ALN604,XGB,0.46,2020-10-22,2020-09-15,37,0.5391100645065308
2AGHTBYY,HGST_20HUH721212ALN604,XGB,0.46,2025-01-25,2024-08-31,147,0.6897091269493103
2AGM8EMY,HGST_20HUH721212ALN604,XGB,0.46,2024-10-29,2024-10-29,0,0.6446989178657532
2AGME9PY,HGST_20HUH721212ALN604,XGB,0.46,2024-08-06,2024-08-06,0,0.5974369645118713
2AGMHWAY,HGST_20HUH721212ALN604,XGB,0.46,2023-09-22,2023-09-09,13,0.7170466184616089
2AGMLSZY,HGST_20HUH721212ALN604,XGB,0.46,2020-07-30,2020-07-23,7,0.5774312615394592
2AGMND4Y,HGST_20HUH721212ALN604,XGB,0.46,2025-10-27,2025-10-22,5,0.5847644805908203
2AGMNJKY,HGST_20HUH721212ALN604,XGB,0.46,2025-09-29,2024-01-14,624,0.5675205588340759
2AGMTK0Y,HGST_20HUH721212ALN604,XGB,0.46,2025-08-30,2025-08-25,5,0.5902120471000671
2AGN90RY,HGST_20HUH721212ALN604,XGB,0.46,2023-12-07,2023-03-27,255,0.5256452560424805
2AGN9N4Y,HGST_20HUH721212ALN604,XGB,0.46,2025-03-06,2025-01-26,39,0.6481733918190002
2AGP393Y,HGST_20HUH721212ALN604,XGB,0.46,2023-04-06,2019-08-08,1337,0.4609777629375458
5QGGAELB,HGST_20HUH721212ALN604,XGB,0.46,2025-06-04,2025-04-29,36,0.9357562065124512
5QH0Z60B,HGST_20HUH721212ALN604,XGB,0.46,2024-05-14,2024-01-26,109,0.5750526189804077
5QJBW5VB,HGST_20HUH721212ALN604,XGB,0.46,2024-05-25,2024-05-08,17,0.5267643928527832
8CH190UE,HGST_20HUH721212ALN604,XGB,0.46,2022-03-26,2022-02-13,41,0.86519455909729
8HG7LGUH,HGST_20HUH721212ALN604,XGB,0.46,2025-06-01,2024-11-03,210,0.4622292220592499
8HHARE1H,HGST_20HUH721212ALN604,XGB,0.46,2023-03-24,2023-03-05,19,0.7036895751953125
8HHNHSUH,HGST_20HUH721212ALN604,XGB,0.46,2024-12-06,2024-12-06,0,0.5322235822677612
8HK6VSKH,HGST_20HUH721212ALN604,XGB,0.46,2024-03-10,2024-03-06,4,0.4712425768375397
8HKMR21H,HGST_20HUH721212ALN604,XGB,0.46,2020-09-02,2020-08-25,8,0.5759500861167908
AAG1LW3H,HGST_20HUH721212ALN604,XGB,0.46,2024-09-03,2024-08-17,17,0.9090418219566345
AAG5YYKH,HGST_20HUH721212ALN604,XGB,0.46,2025-09-30,2025-07-17,75,0.601071834564209
AAG61LHH,HGST_20HUH721212ALN604,XGB,0.46,2024-05-17,2024-05-09,8,0.6097850203514099
AAG63TMH,HGST_20HUH721212ALN604,XGB,0.46,2025-09-02,2024-08-05,393,0.6161661744117737
AAG63Z8H,HGST_20HUH721212ALN604,XGB,0.46,2025-09-28,2025-09-13,15,0.5109632015228271
AAG6417H,HGST_20HUH721212ALN604,XGB,0.46,2024-06-06,2024-05-30,7,0.5724501609802246
AAG682YH,HGST_20HUH721212ALN604,XGB,0.46,2024-07-04,2020-08-27,1407,0.6087779402732849
AAG6NP0H,HGST_20HUH721212ALN604,XGB,0.46,2024-09-22,2024-05-29,116,0.6044556498527527
AAG6NPRH,HGST_20HUH721212ALN604,XGB,0.46,2026-03-12,2026-01-21,50,0.46751418709754944
AAG6XU7H,HGST_20HUH721212ALN604,XGB,0.46,2020-05-23,2019-06-29,329,0.5765504837036133
AAG6Z42H,HGST_20HUH721212ALN604,XGB,0.46,2024-11-24,2024-10-18,37,0.4719466269016266
AAG7LTHH,HGST_20HUH721212ALN604,XGB,0.46,2024-07-29,2024-07-29,0,0.46665841341018677
AAG7MULH,HGST_20HUH721212ALN604,XGB,0.46,2026-03-13,2024-12-04,464,0.5601360201835632
AAHKX43H,HGST_20HUH721212ALN604,XGB,0.46,2019-11-25,2019-10-04,52,0.6805060505867004
AAHLV40H,HGST_20HUH721212ALN604,XGB,0.46,2019-08-05,2019-07-27,9,0.6717469692230225
AAHLY31H,HGST_20HUH721212ALN604,XGB,0.46,2025-07-25,2024-08-10,349,0.5720972418785095
