serial_number,hdd,manufacturer,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
ZCH02ZTL,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-06-19,2019-12-26,541,0.3242705762386322
ZCH0657H,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-11-15,2019-01-31,288,0.3636530041694641
ZCH06N5L,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-03-22,2019-09-08,196,0.32435914874076843
ZCH06TH0,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-02-19,2019-02-19,0,0.49590370059013367
ZCH06WWK,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-16,2019-07-03,13,0.3717493712902069
ZCH06ZR3,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-02-18,2019-02-16,2,0.4458807706832886
ZCH070MN,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-09-17,2018-09-16,1,0.41473260521888733
ZCH070VR,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-08-01,2019-07-29,3,0.35996145009994507
ZCH070ZQ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-10-02,2018-10-02,0,0.37085938453674316
ZCH073Z9,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-12-17,2018-12-17,0,0.34088951349258423
ZCH077N9,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-12,2019-06-09,3,0.5011377930641174
ZCH078J5,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-11-23,2020-11-16,7,0.37911927700042725
ZCH078YM,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-13,2019-08-21,23,0.3530372381210327
ZCH07BWD,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-12-13,2019-11-22,21,0.4017889201641083
ZCH07DVT,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-04-06,2020-09-12,206,0.4753609895706177
ZCH07G29,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-09-03,2020-08-18,16,0.32536545395851135
ZCH07HM0,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-11-02,2019-10-08,25,0.35884347558021545
ZCH07JAG,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-01-20,2017-12-29,22,0.3378782868385315
ZCH07NLF,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-07-10,2020-07-04,6,0.32297855615615845
ZCH07QC8,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-01-09,2020-01-08,1,0.4212706387042999
ZCH07RJ1,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-02-07,2019-11-06,93,0.3273982107639313
ZCH07S1Y,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-05-11,2021-01-30,101,0.3996317684650421
ZCH07SKQ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-10-16,2019-08-12,65,0.33293017745018005
ZCH07WGZ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-01-11,2018-06-12,213,0.3207571506500244
ZCH08034,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-05-29,2020-03-04,86,0.3396528661251068
ZCH080J8,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-02-03,2019-08-12,175,0.34413453936576843
ZCH080S1,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-12,2019-06-07,5,0.3661852478981018
ZCH089YR,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-08-05,2019-08-01,4,0.3319302201271057
ZCH08B2G,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-28,2019-09-06,22,0.35124120116233826
ZCH092TK,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-13,2019-06-02,103,0.3773582875728607
ZCH09PRH,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-11-11,2018-11-11,0,0.40033090114593506
ZCH0AL01,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-09-19,2018-07-19,62,0.3292945623397827
ZCH0APGY,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-04-04,2021-04-03,1,0.37416547536849976
ZCH0BCWV,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-04-25,2018-04-25,0,0.482898086309433
ZCH0BJ46,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-25,2019-06-16,9,0.3213502764701843
ZCH0BTJN,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-27,2019-09-27,0,0.35172733664512634
ZCH0C1SC,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-02-17,2018-08-27,174,0.37607529759407043
ZCH0CJ7L,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-03-27,2019-06-10,291,0.3346765637397766
ZCH0D1HC,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-20,2019-08-20,31,0.41178324818611145
ZCH0DG3H,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-26,2019-07-25,1,0.3703306317329407
