serial_number,hdd,manufacturer,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_predicted_score
ZCH06TH0,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-02-19,2019-02-19,0.0,0.5316844756140134
ZCH06WWK,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-07-16,2019-07-02,14.0,0.13368326468632225
ZCH06ZR3,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-02-18,2019-02-09,9.0,0.15151919468337052
ZCH070MN,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-09-17,2018-09-16,1.0,0.16793087110462662
ZCH070ZQ,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-10-02,2018-10-02,0.0,0.11263846478844207
ZCH072P4,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-06-02,2018-05-03,30.0,0.18048022631203703
ZCH073Z9,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-12-17,2018-12-17,0.0,0.2526628397144213
ZCH077N9,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-06-12,2019-06-09,3.0,0.995484978512816
ZCH078J5,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-11-23,2020-11-18,5.0,0.11961868135573464
ZCH078YM,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-09-13,2019-09-01,12.0,0.13865674636785427
ZCH07AYE,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-12-28,2019-12-16,12.0,0.25559353901335274
ZCH07C5P,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-05-14,2019-05-14,0.0,0.11397436752248014
ZCH07G29,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-09-03,2020-09-02,1.0,0.9999768577511463
ZCH07JAG,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-01-20,2017-12-25,26.0,0.9962954285580322
ZCH07QC8,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-01-09,2020-01-08,1.0,0.12643716404745206
ZCH07RQT,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-07-07,2021-07-07,0.0,0.11434330274323794
ZCH07S1Y,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-05-11,2021-04-15,26.0,0.11961868135573464
ZCH07ZZC,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-11-19,2019-11-12,7.0,0.6099695577250163
ZCH092TK,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-09-13,2019-08-31,13.0,0.08108090239288149
ZCH09PRH,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-11-11,2018-11-11,0.0,0.1539228100257887
ZCH0AL01,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-09-19,2018-09-14,5.0,0.999986189391943
ZCH0APGY,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-04-04,2021-03-30,5.0,0.09483166733157407
ZCH0BCWV,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-04-25,2018-04-25,0.0,0.9999999484549278
ZCH0BJ46,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-06-25,2019-06-25,0.0,0.1398260881432462
ZCH0CDE8,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-06-11,2018-05-22,20.0,0.9419151348075121
ZCH0D1HC,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-09-20,2019-08-26,25.0,0.554060385147843
ZCH0DG3H,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-07-26,2019-07-25,1.0,0.20579991904100833
ZCH0DY2X,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-03-08,2019-03-01,7.0,0.1085460931389605
ZJV00D2C,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-11-03,2020-10-23,11.0,0.48387345138392546
ZJV00FBJ,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-05-24,2019-05-24,0.0,0.14690011324677874
ZJV00H1Q,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2018-12-29,2018-12-29,0.0,0.08237153575401648
ZJV03W5T,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-09-17,2019-09-13,4.0,0.528621479457795
ZJV04HXS,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-11-17,2019-10-24,24.0,0.12798520750626574
ZJV0JY76,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-02-10,2020-01-22,19.0,0.13990181875891514
ZJV0QNMW,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-11-16,2019-11-16,0.0,0.1260280307148955
ZJV0RYMQ,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2023-02-13,2023-02-10,3.0,0.15615417182680227
ZJV0WFST,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-09-17,2019-09-17,0.0,0.0926636134794179
ZJV19Q8F,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2024-12-21,2024-12-20,1.0,0.16340759396343466
ZJV1KYJ9,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-01-30,2020-01-23,7.0,0.26989810357196076
ZJV2E4GS,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2025-11-10,2025-11-10,0.0,0.13875483632120178
ZJV2ENN5,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-03-18,2019-03-14,4.0,0.9999999869509941
ZJV2FPYG,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2019-07-07,2019-07-06,1.0,0.9999999424076571
ZJV3A0BA,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-03-25,2021-03-12,13.0,0.15601528655224112
ZJV3AFSA,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2023-08-08,2023-08-07,1.0,0.15668873743856887
ZJV3BF8Z,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2022-10-28,2022-10-28,0.0,0.13700311699690249
ZJV3C4KD,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2022-02-11,2022-01-28,14.0,0.0846419574491132
ZJV3C6PV,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-05-19,2021-04-27,22.0,0.08594581066953823
ZJV3CG0J,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2025-03-13,2025-03-05,8.0,0.08956383246756609
ZJV3CSA2,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2021-01-12,2021-01-11,1.0,0.0840855105134448
ZJV3D9GE,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2023-11-28,2023-11-28,0.0,0.20994430405176473
ZJV4K6RZ,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2023-12-04,2023-12-03,1.0,0.10247232618269521
ZJV4LE7S,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2023-05-22,2023-05-14,8.0,0.13965755415752729
ZJV4LLAA,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2025-07-17,2025-06-30,17.0,0.08184666674584115
ZJV4M12C,ST12000NM0007,Seagate (ST12000NM0007),LGBM,0.08,2020-03-08,2020-02-09,28.0,0.9999998505410309
