serial_number,hdd,model,threshold,has_failed,total_obs_days,total_alarm_count,alarm_ratio
2AG61PSY,HGST_20HUH721212ALN604,LGBM,0.993,0,2467,0,0.0
2AG8AVRY,HGST_20HUH721212ALN604,LGBM,0.993,0,2392,0,0.0
2AGEGU7Y,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGEU1JY,HGST_20HUH721212ALN604,LGBM,0.993,0,2466,0,0.0
2AGG48NY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGG7H1Y,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGGHGJY,HGST_20HUH721212ALN604,LGBM,0.993,1,2015,0,0.0
2AGGHLEY,HGST_20HUH721212ALN604,LGBM,0.993,0,2466,0,0.0
2AGGHM0Y,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGGHMUY,HGST_20HUH721212ALN604,LGBM,0.993,0,2482,0,0.0
2AGGHR1Y,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGGHR7Y,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGGL0UY,HGST_20HUH721212ALN604,LGBM,0.993,1,1008,0,0.0
2AGGR3NY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGGZNJY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGH31BY,HGST_20HUH721212ALN604,LGBM,0.993,1,1620,0,0.0
2AGH31PY,HGST_20HUH721212ALN604,LGBM,0.993,1,2003,0,0.0
2AGH33SY,HGST_20HUH721212ALN604,LGBM,0.993,1,2174,1,0.00045998160073597056
2AGH34HY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGH34PY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGH35GY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
2AGHB9XY,HGST_20HUH721212ALN604,LGBM,0.993,1,2009,0,0.0
2AGHDYHY,HGST_20HUH721212ALN604,LGBM,0.993,0,2471,0,0.0
