serial_number,on_time_runs,missed_runs,never_on_time_any_run,never_alarmed_any_run
2AGGHGJY,51,69,False,False
2AGGL0UY,42,78,False,False
2AGH31BY,0,120,True,True
2AGH31PY,4,97,False,False
2AGH33SY,1,19,False,False
2AGHB9XY,3,117,False,False
2AGHEP9Y,0,120,True,True
2AGHLEUY,0,120,True,True
2AGHLGTY,0,63,True,False
2AGHMXGY,0,120,True,True
2AGHN0TY,1,17,False,False
2AGHTBYY,0,1,True,False
2AGHTGEY,14,67,False,False
2AGLY65Y,0,120,True,True
2AGM5V7Y,0,42,True,False
2AGM5VHY,0,120,True,True
2AGM5W9Y,0,120,True,True
2AGM8EMY,5,107,False,False
2AGM8UNY,0,41,True,False
2AGM9MXY,0,119,True,False
2AGM9RGY,0,120,True,True
2AGMDUAY,0,120,True,True
2AGME0XY,0,63,True,False
2AGME9PY,23,97,False,False
2AGMH2YY,0,119,True,False
2AGMHPEY,0,120,True,True
2AGMHRYY,10,72,False,False
2AGMHU7Y,0,120,True,True
2AGMHWAY,52,26,False,False
2AGMHXDY,84,36,False,False
2AGMHY3Y,0,120,True,True
2AGMJ5BY,0,120,True,True
2AGMKV4Y,63,32,False,False
2AGMKVHY,0,119,True,False
2AGMKVTY,1,110,False,False
2AGMLSZY,108,12,False,False
2AGMLZLY,46,74,False,False
2AGMNB7Y,1,119,False,False
2AGMND4Y,71,14,False,False
2AGMNE1Y,9,49,False,False
2AGMNEBY,0,71,True,False
2AGMNJKY,27,8,False,False
2AGMNMWY,0,120,True,True
2AGMPD8Y,0,120,True,True
2AGMPL7Y,0,114,True,False
2AGMPP4Y,61,43,False,False
2AGMSHHY,0,120,True,True
2AGMTK0Y,66,53,False,False
2AGMTL0Y,0,120,True,True
2AGMUBRY,0,120,True,True
2AGMWHVY,0,120,True,True
2AGMZLMY,0,103,True,False
2AGN90RY,4,96,False,False
2AGN9N4Y,6,8,False,False
2AGNKB9Y,0,120,True,True
2AGP393Y,0,25,True,False
2AGP43EY,0,120,True,True
2AGPJGPY,10,110,False,False
2AGPJH1Y,0,120,True,True
2AGPKWNY,0,120,True,True
2AGPPLLY,6,69,False,False
2AGPRMLY,0,120,True,True
2AGPRMRY,0,120,True,True
5QGGAELB,8,37,False,False
5QH0Z60B,2,43,False,False
5QJBW5VB,62,38,False,False
8CGT5S2E,0,120,True,True
8CGTZ9HE,8,31,False,False
8CGXNNUE,68,51,False,False
8CH190UE,6,50,False,False
8CH1APUE,2,80,False,False
8CH1ARHE,0,120,True,True
8CH1WBME,0,120,True,True
8CH4X3TE,0,120,True,True
8CH4YM4E,0,120,True,True
8CH4YM6E,1,50,False,False
8CH4YN8E,0,117,True,False
8CH5214E,46,53,False,False
8CH5E8EE,0,120,True,True
8CH5HRYE,0,77,True,False
8CHU7R9E,0,120,True,True
8DG6S3UD,4,95,False,False
8HG7LGUH,0,39,True,False
8HHARE1H,85,2,False,False
8HHNHSUH,11,109,False,False
8HHPUREH,3,53,False,False
8HJ8LKMH,0,119,True,False
8HJ9K7HH,15,102,False,False
8HJXG0WH,0,120,True,True
8HJZEG6H,0,118,True,False
8HK1XAAH,0,120,True,True
8HK6VSKH,98,9,False,False
8HKJ5KDH,0,120,True,True
8HKMR21H,23,96,False,False
8HKPZY9H,0,69,True,False
8HKTBA3H,3,103,False,False
8HKTH2SH,0,120,True,True
8HKU3YTH,11,52,False,False
8HKUEJHH,0,120,True,True
8HKY0KHH,0,30,True,False
AAG1LSNH,3,110,False,False
AAG1LW3H,32,84,False,False
AAG26NBH,1,119,False,False
AAG26U9H,1,119,False,False
AAG27XPH,0,120,True,True
AAG281TH,0,120,True,True
AAG2JGJH,0,120,True,True
AAG4Z5AH,9,66,False,False
AAG5YYKH,9,35,False,False
AAG5YZZH,13,107,False,False
AAG613RH,0,120,True,True
AAG61LHH,31,6,False,False
AAG637RH,0,120,True,True
AAG63PKH,53,67,False,False
AAG63TMH,0,30,True,False
AAG63WHH,4,106,False,False
AAG63Z8H,83,37,False,False
AAG6417H,76,17,False,False
AAG67V3H,11,73,False,False
AAG682YH,26,20,False,False
AAG68EWH,1,117,False,False
AAG68EXH,0,120,True,True
AAG6AWTH,1,119,False,False
AAG6DT9H,0,120,True,True
AAG6J1TH,1,96,False,False
AAG6J2DH,0,120,True,True
AAG6J2KH,0,22,True,False
AAG6KV6H,0,120,True,True
AAG6LD7H,0,120,True,True
AAG6NP0H,0,21,True,False
AAG6NPRH,41,35,False,False
AAG6NRBH,8,40,False,False
AAG6T52H,0,120,True,True
AAG6XU7H,3,12,False,False
AAG6XWJH,0,84,True,False
AAG6Z42H,0,100,True,False
AAG74EAH,0,32,True,False
AAG76HYH,47,28,False,False
AAG7LTHH,49,70,False,False
AAG7MULH,61,24,False,False
AAG7PPHH,0,120,True,True
AAGA7W1H,0,118,True,False
AAGN9D2H,0,120,True,True
AAGXY3MH,0,120,True,True
AAH90NAH,0,120,True,True
AAH9301H,5,115,False,False
AAH9307H,0,120,True,True
AAHGYKJH,0,120,True,True
AAHKERJH,0,119,True,False
AAHKM55H,0,118,True,False
AAHKMW2H,0,120,True,True
AAHKS17H,2,89,False,False
AAHKX43H,0,87,True,False
AAHL5LRH,8,110,False,False
AAHLBTZH,16,74,False,False
AAHLBWGH,65,55,False,False
AAHLBWSH,0,120,True,True
AAHLD3UH,9,111,False,False
AAHLV40H,15,99,False,False
AAHLY31H,0,33,True,False
AAHMR03H,70,29,False,False
AAHMR2ZH,0,120,True,True
