serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,0,0,1,0.0007436745218001306,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,0,0,1,0.0008485026191920042,,2019-08-14,
2AGEGU7Y,0,0,,,,0,0,0,0,0,1,0.0015530481468886137,,2019-05-27,
2AGEU1JY,0,1,2025-05-19,,,0,0,1,1,0,0,0.29166683554649353,0.20923247933387756,2019-06-01,2179.0
2AGG48NY,0,0,,,,0,0,0,0,0,1,0.000536079634912312,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,0,0,1,0.000674251583404839,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,0,0,0,0,1,0,0.11866740137338638,,2019-05-16,
2AGGHLEY,0,0,,,,0,0,0,0,0,1,0.0013015368022024632,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,0,0,1,0.000588687660638243,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,0,0,1,0.002201553899794817,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,0,0,1,0.0025249957107007504,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,0,0,1,0.0006731905159540474,,2019-05-27,
2AGGL0UY,1,1,2022-02-26,2022-02-27,1.0,1,0,0,0,0,0,0.2955775260925293,0.21119168400764465,2019-05-27,1006.0
2AGGR3NY,0,0,,,,0,0,0,0,0,1,0.03722553327679634,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,0,0,1,0.0020132563076913357,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,0,0,1,0,0.05702458694577217,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,0,0,1,0,0.06576073169708252,,2019-05-27,
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,0,1,0,1,0,0,0.35397931933403015,0.2416192591190338,2019-05-27,2105.0
2AGH34HY,0,0,,,,0,0,0,0,0,1,0.09984522312879562,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,0,0,1,0.001082990667782724,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,0,0,1,0.0008459980017505586,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,0,0,1,0,0.04221723973751068,,2019-05-27,
2AGHDYHY,0,0,,,,0,0,0,0,0,1,0.0018996376311406493,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,0,0,0,0,1,0,0.02742828242480755,,2019-05-27,
2AGHGR1Y,0,0,,,,0,0,0,0,0,1,0.001994068967178464,,2019-05-27,
2AGHGRLY,0,0,,,,0,0,0,0,0,1,0.00997159630060196,,2019-05-27,
2AGHGRRY,0,0,,,,0,0,0,0,0,1,0.0011329720728099346,,2019-05-27,
2AGHJD4Y,0,1,2025-08-16,,,0,0,1,1,0,0,0.43689683079719543,0.15158982574939728,2019-06-01,2268.0
2AGHK55Y,0,0,,,,0,0,0,0,0,1,0.0005920166149735451,,2019-05-27,
2AGHK8MY,0,0,,,,0,0,0,0,0,1,0.0008766851969994605,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,0,0,0,0,1,0,0.025687851011753082,,2019-05-27,
2AGHLGTY,1,1,2025-02-28,2025-08-05,158.0,0,1,0,1,0,0,0.19991964101791382,0.18835076689720154,2019-05-27,2104.0
2AGHLKHY,0,0,,,,0,0,0,0,0,1,0.0014671505196020007,,2019-05-27,
2AGHLMXY,0,0,,,,0,0,0,0,0,1,0.0013207272859290242,,2019-05-27,
2AGHLN0Y,0,0,,,,0,0,0,0,0,1,0.0011820427607744932,,2019-05-27,
2AGHMUTY,0,0,,,,0,0,0,0,0,1,0.0008496131049469113,,2019-05-27,
2AGHMUYY,0,0,,,,0,0,0,0,0,1,0.0032141809351742268,,2019-06-01,
2AGHMW5Y,0,0,,,,0,0,0,0,0,1,0.053575772792100906,,2019-05-27,
2AGHMXGY,1,0,,2023-05-14,,0,0,0,0,1,0,0.01856173388659954,,2019-05-27,
2AGHMYTY,0,0,,,,0,0,0,0,0,1,0.0766872987151146,,2019-05-27,
2AGHMZMY,0,0,,,,0,0,0,0,0,1,0.0008438141667284071,,2019-05-27,
2AGHN0TY,1,1,2020-08-24,2020-10-22,59.0,0,1,0,1,0,0,0.6315736770629883,0.1636735498905182,2019-05-27,455.0
2AGHN0WY,0,0,,,,0,0,0,0,0,1,0.0031264517456293106,,2019-05-27,
2AGHN16Y,0,0,,,,0,0,0,0,0,1,0.0009490633965469897,,2019-05-27,
2AGHN2AY,0,0,,,,0,0,0,0,0,1,0.0009810933843255043,,2019-05-27,
2AGHN3XY,0,0,,,,0,0,0,0,0,1,0.0016081249341368675,,2019-05-27,
2AGHPDKY,0,0,,,,0,0,0,0,0,1,0.0008952611242420971,,2019-05-27,
2AGHSJ4Y,0,0,,,,0,0,0,0,0,1,0.0005507927271537483,,2019-05-27,
2AGHSS9Y,0,0,,,,0,0,0,0,0,1,0.0009972464758902788,,2019-05-27,
2AGHTBYY,1,1,2023-09-14,2025-01-25,499.0,0,1,0,1,0,0,0.5521289706230164,0.1631084382534027,2019-05-27,1571.0
2AGHTGEY,1,1,2023-03-01,2023-03-14,13.0,1,0,0,0,0,0,0.18891341984272003,0.16279862821102142,2019-05-27,1374.0
2AGHTKBY,0,0,,,,0,0,0,0,0,1,0.01387854479253292,,2019-05-27,
2AGLY65Y,1,0,,2023-11-20,,0,0,0,0,1,0,0.02677452564239502,,2019-08-13,
2AGM231Y,0,0,,,,0,0,0,0,0,1,0.002774385502561927,,2019-05-04,
2AGM23NY,0,0,,,,0,0,0,0,0,1,0.00296661164611578,,2019-05-04,
2AGM5UVY,0,0,,,,0,0,0,0,0,1,0.09788148105144501,,2019-05-16,
2AGM5V7Y,1,1,2024-12-22,2025-12-05,348.0,0,1,0,1,0,0,0.3156264126300812,0.24303844571113586,2019-05-16,2047.0
2AGM5VBY,0,0,,,,0,0,0,0,0,1,0.08113648742437363,,2019-05-16,
2AGM5VHY,1,0,,2025-01-18,,0,0,0,0,1,0,0.016177762299776077,,2019-08-14,
2AGM5W9Y,1,0,,2025-01-16,,0,0,0,0,1,0,0.04235096275806427,,2019-05-16,
2AGM5YEY,0,0,,,,0,0,0,0,0,1,0.01089137140661478,,2019-05-04,
2AGM8EMY,1,0,,2024-10-29,,0,0,0,0,1,0,0.09541565924882889,,2019-05-16,
2AGM8EUY,0,0,,,,0,0,0,0,0,1,0.0012432223884388804,,2019-05-27,
2AGM8J2Y,0,0,,,,0,0,0,0,0,1,0.0023393367882817984,,2019-05-16,
2AGM8JAY,0,0,,,,0,0,0,0,0,1,0.0017723697237670422,,2019-05-16,
2AGM8LNY,0,1,2024-10-23,,,0,0,1,1,0,0,0.28079456090927124,0.21357393264770508,2019-05-04,1999.0
2AGM8RJY,0,0,,,,0,0,0,0,0,1,0.018777228891849518,,2019-08-13,
2AGM8RTY,0,0,,,,0,0,0,0,0,1,0.04040781036019325,,2019-05-16,
2AGM8UNY,1,1,2025-10-18,2026-03-12,145.0,0,1,0,1,0,0,0.5568982362747192,0.1829976737499237,2019-08-13,2258.0
2AGM8V7Y,0,0,,,,0,0,0,0,0,1,0.002830903045833111,,2019-05-16,
2AGM9MXY,1,0,,2025-09-21,,0,0,0,0,1,0,0.03733045980334282,,2019-05-04,
2AGM9PJY,0,0,,,,0,0,0,0,0,1,0.12148692458868027,,2019-05-04,
2AGM9RGY,1,0,,2022-12-23,,0,0,0,0,1,0,0.0009553345153108239,,2019-05-16,
2AGM9S6Y,0,0,,,,0,0,0,0,0,1,0.01092243567109108,,2019-05-16,
2AGM9SDY,0,0,,,,0,0,0,0,0,1,0.001900465227663517,,2019-05-04,
2AGM9U1Y,0,0,,,,0,0,0,0,0,1,0.0013028477551415563,,2019-05-16,
2AGMDJKY,0,0,,,,0,0,0,0,0,1,0.002864167559891939,,2019-05-04,
2AGMDUAY,1,0,,2023-02-04,,0,0,0,0,1,0,0.02235383354127407,,2019-05-16,
2AGMDY1Y,0,0,,,,0,0,0,0,0,1,0.026997841894626617,,2019-08-14,
2AGME0XY,1,1,2024-01-17,2024-05-29,133.0,0,1,0,1,0,0,0.16890016198158264,0.1521010398864746,2019-05-16,1707.0
2AGME3BY,0,0,,,,0,0,0,0,0,1,0.0075472560711205006,,2019-05-16,
2AGME9PY,1,1,2024-08-06,2024-08-06,0.0,1,0,0,0,0,0,0.16445153951644897,0.16445153951644897,2019-08-13,1820.0
2AGMGAYY,0,0,,,,0,0,0,0,0,1,0.0030929837375879288,,2019-05-16,
2AGMGDPY,0,0,,,,0,0,0,0,0,1,0.0013134566834196448,,2019-08-13,
2AGMGKLY,0,0,,,,0,0,0,0,0,1,0.0007026560488156974,,2019-08-13,
2AGMGXEY,0,0,,,,0,0,0,0,0,1,0.0006897850544191897,,2019-08-14,
2AGMH2YY,1,0,,2024-12-10,,0,0,0,0,1,0,0.07667350769042969,,2019-05-16,
2AGMH3JY,0,0,,,,0,0,0,0,0,1,0.00195557763800025,,2019-05-16,
2AGMHK6Y,0,0,,,,0,0,0,0,0,1,0.012348655611276627,,2019-05-04,
2AGMHPEY,1,0,,2024-06-25,,0,0,0,0,1,0,0.016023319214582443,,2019-06-01,
2AGMHRYY,1,0,,2024-05-16,,0,0,0,0,1,0,0.14319097995758057,,2019-05-16,
2AGMHTLY,0,0,,,,0,0,0,0,0,1,0.0027967148926109076,,2019-05-04,
2AGMHU7Y,1,0,,2024-07-08,,0,0,0,0,1,0,0.016107438132166862,,2019-05-04,
2AGMHVTY,0,0,,,,0,0,0,0,0,1,0.0014677912695333362,,2019-05-16,
2AGMHWAY,1,1,2023-03-25,2023-09-22,181.0,0,1,0,1,0,0,0.23818740248680115,0.15596917271614075,2019-08-14,1319.0
2AGMHXDY,1,1,2025-05-29,2025-06-02,4.0,1,0,0,0,0,0,0.2850545346736908,0.15961435437202454,2019-08-13,2116.0
2AGMHY3Y,1,0,,2025-11-18,,0,0,0,0,1,0,0.01982487551867962,,2019-08-14,
2AGMHY5Y,0,0,,,,0,0,0,0,0,1,0.0011621220037341118,,2019-08-13,
2AGMJ35Y,0,0,,,,0,0,0,0,0,1,0.002776828594505787,,2019-05-04,
2AGMJ3JY,0,0,,,,0,0,0,0,0,1,0.0026265738997608423,,2019-05-16,
