serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,0,0,1,0.004521609694837826,,2019-08-14,
2AGEGU7Y,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGEU1JY,0,0,,,,0,0,0,0,0,1,0.022893655561193202,,2019-06-01,
2AGG48NY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,0,0,0,0,1,0,0.6104834900226372,,2019-05-16,
2AGGHLEY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,0,0,1,0.005324747587166817,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,0,0,1,0,0.0012067170796848945,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,0,0,1,0.02369688865770464,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,0,0,1,0,0.02454375156649185,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,0,0,1,0,0.5288772633638501,,2019-05-27,
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,0,1,0,1,0,0,0.9999792740985507,0.9999792740985507,2019-05-27,2105.0
2AGH34HY,0,0,,,,0,0,0,0,0,1,0.39362202631081067,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,0,0,1,0.0012067170796848945,,2019-05-27,
