serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005702839116565883,,2019-05-27,
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003710918128490448,,2019-08-14,
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017785251839086413,,2019-05-27,
2AGEU1JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.2197214961051941,,2019-06-01,
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00041889649583026767,,2019-05-27,
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006559863104484975,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.06572577357292175,,2019-05-16,
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00122312072198838,,2019-06-01,
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005906569422222674,,2019-05-27,
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001402983907610178,,2019-05-16,
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00790729932487011,,2019-05-27,
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005902050179429352,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.14784979820251465,,2019-05-27,
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03322407603263855,,2019-05-27,
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001593440305441618,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.05324225127696991,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.07846786826848984,,2019-05-27,
2AGH33SY,1,0,,2025-05-08,,Missed,0,0,0,0,1,0,0.17205993831157684,,2019-05-27,
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08206615597009659,,2019-05-27,
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016575860790908337,,2019-05-27,
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000714065448846668,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.039494339376688004,,2019-05-27,
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020247637294232845,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.03495092689990997,,2019-05-27,
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004464003723114729,,2019-05-27,
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016289365012198687,,2019-05-27,
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007979360525496304,,2019-05-27,
2AGHJD4Y,0,1,2025-08-29,,,Censored Early,0,0,1,1,0,0,0.4267386496067047,0.3342481255531311,2019-06-01,2281.0
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006430982029996812,,2019-05-27,
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007589527522213757,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.036317337304353714,,2019-05-27,
2AGHLGTY,1,0,,2025-08-05,,Missed,0,0,0,0,1,0,0.06370946019887924,,2019-05-27,
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002098068129271269,,2019-05-27,
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001677101943641901,,2019-05-27,
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008888109587132931,,2019-05-27,
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007744148024357855,,2019-05-27,
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0026126564480364323,,2019-06-01,
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0381021723151207,,2019-05-27,
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.027632204815745354,,2019-05-27,
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03311995789408684,,2019-05-27,
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009075137786567211,,2019-05-27,
2AGHN0TY,1,1,2020-09-22,2020-10-22,30.0,On time,1,0,0,0,0,0,0.3539638817310333,0.3382091820240021,2019-05-27,484.0
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002400236902758479,,2019-05-27,
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012290229788050056,,2019-05-27,
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008529851329512894,,2019-05-27,
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018470213981345296,,2019-05-27,
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012373850913718343,,2019-05-27,
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004521927621681243,,2019-05-27,
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001923729432746768,,2019-05-27,
2AGHTBYY,1,1,2024-08-24,2025-01-25,154.0,Early,0,1,0,1,0,0,0.5113685727119446,0.34302031993865967,2019-05-27,1916.0
2AGHTGEY,1,0,,2023-03-14,,Missed,0,0,0,0,1,0,0.1745896190404892,,2019-05-27,
2AGHTKBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0199689082801342,,2019-05-27,
2AGLY65Y,1,0,,2023-11-20,,Missed,0,0,0,0,1,0,0.015397007577121258,,2019-08-13,
2AGM231Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001464641303755343,,2019-05-04,
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015831694472581148,,2019-05-04,
2AGM5UVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0554196797311306,,2019-05-16,
2AGM5V7Y,1,1,2025-01-03,2025-12-05,336.0,Early,0,1,0,1,0,0,0.339322030544281,0.339322030544281,2019-05-16,2059.0
2AGM5VBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04920259118080139,,2019-05-16,
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.002260170876979828,,2019-08-14,
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.034271448850631714,,2019-05-16,
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.012301070615649223,,2019-05-04,
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.07435043901205063,,2019-05-16,
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001209575217217207,,2019-05-27,
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019372975220903754,,2019-05-16,
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001364074181765318,,2019-05-16,
2AGM8LNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.11720431596040726,,2019-05-04,
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02507951483130455,,2019-08-13,
2AGM8RTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.041220519691705704,,2019-05-16,
2AGM8UNY,1,1,2025-10-29,2026-03-12,134.0,Early,0,1,0,1,0,0,0.4745003283023834,0.3351486027240753,2019-08-13,2269.0
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019153867615386844,,2019-05-16,
2AGM9MXY,1,0,,2025-09-21,,Missed,0,0,0,0,1,0,0.03583493456244469,,2019-05-04,
2AGM9PJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.059952352195978165,,2019-05-04,
2AGM9RGY,1,0,,2022-12-23,,Missed,0,0,0,0,1,0,0.0010858196765184402,,2019-05-16,
2AGM9S6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005726862698793411,,2019-05-16,
2AGM9SDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008436617790721357,,2019-05-04,
2AGM9U1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006599645712412894,,2019-05-16,
2AGMDJKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015218540793284774,,2019-05-04,
2AGMDUAY,1,0,,2023-02-04,,Missed,0,0,0,0,1,0,0.0012458343990147114,,2019-05-16,
2AGMDY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03304675593972206,,2019-08-14,
2AGME0XY,1,0,,2024-05-29,,Missed,0,0,0,0,1,0,0.129766583442688,,2019-05-16,
2AGME3BY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004790092818439007,,2019-05-16,
2AGME9PY,1,0,,2024-08-06,,Missed,0,0,0,0,1,0,0.06538582593202591,,2019-08-13,
2AGMGAYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018624796066433191,,2019-05-16,
2AGMGDPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002312597818672657,,2019-08-13,
2AGMGKLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008645187481306493,,2019-08-13,
2AGMGXEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006771677872166038,,2019-08-14,
2AGMH2YY,1,0,,2024-12-10,,Missed,0,0,0,0,1,0,0.061878882348537445,,2019-05-16,
2AGMH3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011188563657924533,,2019-05-16,
2AGMHK6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.013672902248799801,,2019-05-04,
2AGMHPEY,1,0,,2024-06-25,,Missed,0,0,0,0,1,0,0.02955513447523117,,2019-06-01,
2AGMHRYY,1,0,,2024-05-16,,Missed,0,0,0,0,1,0,0.15356408059597015,,2019-05-16,
2AGMHTLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00205889530479908,,2019-05-04,
2AGMHU7Y,1,0,,2024-07-08,,Missed,0,0,0,0,1,0,0.01402286533266306,,2019-05-04,
2AGMHVTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011214535916224122,,2019-05-16,
2AGMHWAY,1,0,,2023-09-22,,Missed,0,0,0,0,1,0,0.15983925759792328,,2019-08-14,
2AGMHXDY,1,0,,2025-06-02,,Missed,0,0,0,0,1,0,0.15587688982486725,,2019-08-13,
