serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
1030A034F97G,0,0,,,,0,0,0,0,0,1,0.0004748952342197299,,2020-10-14,
1040A01VF97G,0,0,,,,0,0,0,0,0,1,0.0003436334664002061,,2021-06-08,
1040A024F97G,0,0,,,,0,0,0,0,0,1,0.000502616458106786,,2021-04-23,
1040A03CF97G,0,0,,,,0,0,0,0,0,1,0.0004104269319213927,,2020-11-10,
1040A04KF97G,0,0,,,,0,0,0,0,0,1,0.00036789191653952,,2020-10-14,
1040A04MF97G,0,0,,,,0,0,0,0,0,1,0.0002491427294444293,,2020-11-17,
1040A04PF97G,0,0,,,,0,0,0,0,0,1,0.013265514746308327,,2021-09-16,
1040A04XF97G,0,0,,,,0,0,0,0,0,1,0.00044015285675413907,,2020-11-04,
1040A053F97G,0,0,,,,0,0,0,0,0,1,0.000540882465429604,,2020-08-12,
1040A06CF97G,0,0,,,,0,0,0,0,0,1,0.00031972560100257397,,2020-10-29,
1040A06GF97G,0,0,,,,0,0,0,0,0,1,0.00038116436917334795,,2020-11-17,
1040A06UF97G,0,0,,,,0,0,0,0,0,1,0.00043961615301668644,,2020-11-04,
1040A06WF97G,0,0,,,,0,0,0,0,0,1,0.00043663312681019306,,2020-11-10,
1040A07QF97G,0,0,,,,0,0,0,0,0,1,0.0003507895744405687,,2020-11-17,
1040A0A9F97G,0,0,,,,0,0,0,0,0,1,0.0005894489586353302,,2021-02-26,
1040A0EEF97G,0,0,,,,0,0,0,0,0,1,0.000448918784968555,,2020-08-12,
1050A00FF97G,0,0,,,,0,0,0,0,0,1,0.003187274793162942,,2020-06-27,
1050A00VF97G,0,0,,,,0,0,0,0,0,1,0.0005607262719422579,,2020-08-12,
1050A02XF97G,0,0,,,,0,0,0,0,0,1,0.0005163783207535744,,2021-04-23,
1050A037F97G,0,0,,,,0,0,0,0,0,1,0.00043210515286773443,,2020-09-17,
1050A04EF97G,0,0,,,,0,0,0,0,0,1,0.0003605336823966354,,2020-11-25,
1050A054F97G,0,0,,,,0,0,0,0,0,1,0.0004349110822658986,,2021-04-29,
1050A05QF97G,0,0,,,,0,0,0,0,0,1,0.0003501444007270038,,2020-11-04,
1050A060F97G,0,0,,,,0,0,0,0,0,1,0.0005118120461702347,,2021-04-08,
1050A07YF97G,0,0,,,,0,0,0,0,0,1,0.00039005745202302933,,2020-11-04,
1050A082F97G,0,0,,,,0,0,0,0,0,1,0.00041080525261349976,,2021-06-08,
1050A084F97G,0,0,,,,0,0,0,0,0,1,0.00041180881089530885,,2021-04-29,
1050A0A7F97G,0,0,,,,0,0,0,0,0,1,0.0006182348006404936,,2021-09-16,
1050A0AZF97G,0,0,,,,0,0,0,0,0,1,0.00039579361327923834,,2020-06-24,
1050A0C4F97G,0,0,,,,0,0,0,0,0,1,0.0009376853704452515,,2020-06-25,
1050A0CTF97G,0,0,,,,0,0,0,0,0,1,0.0004822115588467568,,2020-11-04,
1050A0D3F97G,0,0,,,,0,0,0,0,0,1,0.0003290227905381471,,2020-11-17,
1060A00LF97G,0,0,,,,0,0,0,0,0,1,0.0005962520372122526,,2020-10-14,
1060A01RF97G,0,0,,,,0,0,0,0,0,1,0.0157854575663805,,2020-10-14,
1060A01UF97G,0,0,,,,0,0,0,0,0,1,0.0004915049066767097,,2020-09-17,
1060A027F97G,0,0,,,,0,0,0,0,0,1,0.00043411829392425716,,2020-07-28,
1060A029F97G,0,0,,,,0,0,0,0,0,1,0.0004396597505547106,,2020-11-10,
1060A02QF97G,0,0,,,,0,0,0,0,0,1,0.0007947985432110727,,2020-09-23,
1060A02YF97G,0,0,,,,0,0,0,0,0,1,0.0003747666778508574,,2020-11-04,
1060A04GF97G,0,0,,,,0,0,0,0,0,1,0.0005752536817453802,,2021-04-30,
1070A00QF97G,0,0,,,,0,0,0,0,0,1,0.0008076867670752108,,2021-04-13,
1070A01KF97G,0,0,,,,0,0,0,0,0,1,0.00038557444349862635,,2020-11-04,
1070A01ZF97G,0,0,,,,0,0,0,0,0,1,0.0005113309598527849,,2020-10-14,
1070A02QF97G,0,0,,,,0,0,0,0,0,1,0.0004522321978583932,,2020-12-17,
1070A03AF97G,1,1,2023-06-19,2023-06-22,3.0,1,0,0,0,0,0,0.4390515685081482,0.3260973393917084,2020-10-21,971.0
1070A04EF97G,0,0,,,,0,0,0,0,0,1,0.0003557784657459706,,2020-09-24,
1070A04FF97G,0,0,,,,0,0,0,0,0,1,0.0003733079065568745,,2020-11-17,
1070A04LF97G,0,0,,,,0,0,0,0,0,1,0.00032724501215852797,,2020-11-17,
1070A06CF97G,0,0,,,,0,0,0,0,0,1,0.00026337034069001675,,2020-11-10,
1070A07QF97G,0,0,,,,0,0,0,0,0,1,0.001250066445209086,,2020-08-12,
1070A097F97G,0,0,,,,0,0,0,0,0,1,0.020918196067214012,,2020-10-14,
1070A0A9F97G,0,0,,,,0,0,0,0,0,1,0.0005003776168450713,,2021-01-20,
1070A0AXF97G,0,0,,,,0,0,0,0,0,1,0.00036372875911183655,,2020-08-11,
1070A0B8F97G,0,0,,,,0,0,0,0,0,1,0.00039317525806836784,,2021-09-22,
1070A0DPF97G,0,0,,,,0,0,0,0,0,1,0.0005119457491673529,,2021-03-03,
1080A006F97G,0,0,,,,0,0,0,0,0,1,0.000515881460160017,,2020-11-25,
1080A00QF97G,0,0,,,,0,0,0,0,0,1,0.00039757773629389703,,2021-04-21,
1080A02HF97G,0,0,,,,0,0,0,0,0,1,0.0006320254760794342,,2020-08-12,
1080A02UF97G,0,0,,,,0,0,0,0,0,1,0.0005006861174479127,,2021-03-03,
1080A04AF97G,0,0,,,,0,0,0,0,0,1,0.0007573412731289864,,2020-06-25,
1080A055F97G,0,0,,,,0,0,0,0,0,1,0.00038198483525775373,,2020-11-10,
1080A067F97G,0,0,,,,0,0,0,0,0,1,0.00034077322925440967,,2020-08-12,
1080A09HF97G,0,0,,,,0,0,0,0,0,1,0.0005226595676504076,,2021-01-27,
